*	BG	PartyRoom
*	BGM	Script_Normal
blank	-	-	제국력 518년 1월 18일, 황궁 연회장
blank	-	-	장내는 연회와 어울리지 않게 비교적 차분한 분위기로 가라앉은 채, 병풍 역할에 그쳐야 할 악단의 연주보다도 낮은 소리로 짧은 대화만 들려오고 있었다.
blank	-	-	황궁에서 일하는 시종들도 분위기를 파악했는지 조심스럽게 제 할 일만 하고 있을 뿐이었다.
reina	-	레이나	(뭐, 당연한 일이겠지.)
blank	-	-	남보다 못한 사이 정도가 아니라 원수지간에 가까운데, 그냥 모아둔다고 저절로 친해질 리가 없다.
blank	-	-	황제의 초청장에 있는 '양가의 화합을 도모'하겠단 문구를 비웃듯, 마치 물과 기름처럼 갈라져 자기들끼리만 이야기를 나누고 있었다.
reina	-	레이나	……아직 황제가 나타나 연설을 하기로 한 시간까지는 꽤 남았군.


*	Adv
**	카샤스티	 
blank	-	-	카샤스티 루나 러브레이스. 유력한 권세가이자 정재계 여기저기에 손을 뻗치고 있는 러브레이스 가문의 후계자.
blank	-	-	……가 될 수도 있었지만, 스스로 걷어차고 2년 전에 핀토스의 기사가 되었다. 부모가 마법공학처럼 도구를 만드는 일은 귀족에게 걸맞지 않는다며 반대했기 때문이다.
reina	-	레이나	카샤스티 양은 후회하지 않나요?
kashasty	-	카샤스티	어머나, 무엇을 말씀하시온지? 소첩의 총기가 미진하여 깊은 뜻을 알지 못하오니 송구스러울 따름이어요.
reina	-	레이나	……평소와 다른 반응을 접하니 적응이 안 되네요. 굳이 그렇게까지 예의를 차릴 거면 황제 앞에서만 해도 되지 않나요?
kashasty	-	카샤스티	이것은 러브레이스 가문에서 배운 소첩의 거짓된 모습. 빈틈 없이 연기하기 위해서는 언제나 긴장을 유지해야만 하지요.
kashasty	-	카샤스티	아직도 소첩은 가문의 그늘을 벗어나지 못했사와요……. 하지만 핀토스 경에게 폐를 끼칠 수는 없사오니.
reina	-	레이나	(단지 예전에 하던 생활을 다시 하는 것만으로도 질색하는 건가…… 그래, 그런 기억이 있을 수도 있지.)
reina	-	레이나	적어도 후계자를 그만둔 걸 후회하지는 않겠군요.
kashasty	-	카샤스티	물론이어요. 지금 생활이 훨씬 자유로우니까. 새장에 안주하는 공작새보다는 드넓은 하늘을 만끽하는 참새가 훨씬 아름다운 법이랍니다.
kashasty	-	카샤스티	제가 하고 싶은 공부를 할 수 있다는 것만으로도 소첩은 얼마든지 행복한 삶을 살아갈 수 있사와요.
blank	-	-	눈을 빛내며, 진심을 담아 그렇게 말하는 것이었다.


**	영	 
blank	-	-	이쪽도 최근에 들어온 핀토스의 기사. 이름은 영. 자바 북부 출신이라 특이한 이름을 쓴다.
yeong	-	영	하스켈 사람들과 한 공간에 있는 이상 사방이 적인 만큼, 수상한 행동을 하는 사람이 없나 경계 중입니다만…….
yeong	-	영	아직까지 눈에 띄는 움직임은 없군요.
reina	-	레이나	아무리 그래도 황궁에서 칼 빼들고 우릴 죽이려 들지는 않겠죠. 체면이라는 데 꽤나 얽매이는 사람들이니까.
reina	-	레이나	모처럼 이런 자리에 나왔으니, 핀토스 가문의 다른 사람들과 친해져보는 건 어때요?
yeong	-	영	……노력해보도록 하죠.


**	에렌	 
blank	-	-	역시 핀토스의 기사 중 하나. 겉모습과 달리, 실제로는 몸이 나이를 먹지 않는다고 한다.
reina	-	레이나	(믿기 힘들지만, 내가 어렸을 때부터 계속 있었는데도 정말 그대로인 걸 보면 납득할 수밖에.)
blank	-	-	어떻게 그런 게 가능한지는 마법학계를 선도하는 핀토스 가문의 지식으로도 알 수 없는 일이지만, 알려줄 생각은 없어 보인다.
eren	-	에렌	황제를 조심할 필요가 있을 것 같아. 사람은 결코 이유 없이 행동하지 않는데, 우릴 친하게 만들고 싶다는 건 이해하기 어렵단 말이지…….
reina	-	레이나	저 사람들 태도를 보면 그게 가능하긴 할지부터가 의문인데.


**	트리아나	
blank	-	-	어른으로 넘어가는 문턱에 있다고 표현하는 것이 적절할 듯한 소년이 초점 없는 눈으로 어깨에 힘을 빼고 구부정한 자세로 서 있다.
triana	-	트리아나	…….
blank	-	-	뛰어난 연금술사의 조수였지만, 끔찍한 사고에 휘말린 이후 특이한 힘을 얻게 되었다.
reina	-	레이나	(그 때문인지는 모르겠지만, 어떤 일에도 관심이 없고 뭔가를 시키기 전까지는 아무것도 하지 않으려 한다. 도와주고는 싶지만…….)
reina	-	레이나	이런 자리에서는 행동 하나하나가 가문의 명예고 얼굴이지. 좀더 당당해지는 게 어때?
triana	-	트리아나	죄, 죄송해요!
reina	-	레이나	자세는 오히려 더 나빠진 것 같다…….


**	끝내기	 

reina	-	레이나	(황제가 불러서 오긴 했지만, 이왕 자리에 나왔으니 무의미하게 시간을 버리는 것보다는 떠보기라도 하는 게 낫겠지.)
blank	-	-	한 발짝씩 다가갈수록, 하스켈 사람들이 모여 있던 쪽에서는 그나마 조금씩 들려오던 이야기소리마저 끊기고 정적이 찾아왔다.
reina	-	레이나	(존재 자체를 거부하는 분위기가 숨통을 조여오는 듯한 기분…… 하지만, 이것도 가문의 대표로서 짊어져야만 할 무게라면 기꺼이 감당해 주지.)
reina	-	레이나	오랜만입니다, 하스켈 공작.
lucius	-	루키어스	......비키시죠. 살인자에게 할 인사말은 준비해 두고 다니지 않습니다.
reina	-	레이나	흐응, 무슨 말씀이신지 모르겠지만 이런 식으로 나오시면 중재를 위해 직접 나서 주신 폐하께서 무안해지겠네요.
luvericha	-	루베리카	감히 어떻게 당신 같은 인간이 그런 말을……!
yeong	-	영	연회장에서 큰소리를 내는 건 서로에게 좋지 않을 것 같습니다만.
lucius	-	루키어스	……그렇군요. 여기서 하기에 적절한 이야기는 아니니.

*	BGM	Script_Tense
blank	-	-	그 순간 황제가 연설을 할 단상으로 통하는 문이 열렸다. 그러나 나타난 것은 황제가 아닌, 제복 차림의 무리였다.
kashasty	-	카샤스티	그 제복은……아스터 소속이군요. 여기는 무슨 일이죠?
bianca	-	비앙카	시치미 떼 봤자 소용없어, 반역자! 이미 다 알고 왔으니까!
lucius	-	루키어스	……아하, 그런가. 드디어 조사가 끝난 거였어.
lucius	-	루키어스	화합을 도모하다니 무슨 뜻인가 했는데, 굳이 우리까지 직접 불러낸 건 마지막까지 방심시키기 위해서였나? 확실히 철저하시군.
luvericha	-	루베리카	그렇다면 뒤는 제국의 별들에게 맡기고 퇴장하도록 하죠.
noel	-	노엘	죄인들에게 알린다.
blank	-	-	상황이 심상치 않았다. 이 공간은 당연히 아무나 들어올 수 없는 곳인데도 단체로 무기를 들고 황제의 자리를 통해 들어왔고, 하스켈 쪽은 뭔가 아는 눈치라면.
noel	-	노엘	모나드 폐하의 유해를 탈취한 황실모독, 이를 이용해 인체실험을 행하여 금제를 위반. 그 결과물로 반역을 계획.
noel	-	노엘	이에 폐하께서는 이 자리의 전원을 처단하라 명하셨으므로, 지금부터 유니티 제국의 이름으로 집행하겠다.
luvericha	-	루베리카	……전원?
noel	-	노엘	작전 개시!

*	SE	Bomb

blank	-	-	그 말과 동시에 연회장 한가운데에서 큰 폭발이 일어났고, 그들은 정말로 하스켈과 핀토스의 구분 없이 무차별적인 공격을 가했다.
lucius	-	루키어스	뭔가 오해가 있는 것 같은데! 황궁은 구조가 복잡할 테니 각자 출구를 찾는 게 낫습니다. 일단 흩어지죠!

*	FIO
*	BG	Garden
*	BGM	Script_Tense

blank	-	-	레이나 핀토스는 거대한 모나드 황제의 동상 뒤에 숨어서 바깥을 엿보고 있었다.
reina	-	레이나	(이미 마력을 꽤 써 버렸고, 끝까지 뚫을 수 있을까……?)
blank	-	-	아무래도 가문의 수장이니만큼 최우선 목표가 돼버린 것 같았다.
blank	-	-	쫓아오던 적 여러 무리를 간신히 쓰러뜨리고 정원까지 도착했지만, 별관 자체를 빠져나가는 출구는 빠짐없이 적들이 배치되어 있었다.
lucius	-	루키어스	핀토스 경?!
blank	-	-	부르는 소리에 뒤를 돌아보자, 그 많은 사람들 중 하필이면 가장 자신을 싫어하는 사람이 놀란 표정으로 서 있었다.
reina	-	레이나	(별로 챙겨 줄 필요는 없었지만, 바보같이 가만히 있다가 여기서 발각되면 나까지 위험해지겠지?)
reina	-	레이나	거기서 뭐 해요? 빨리 안 숨고!
lucius	-	루키어스	…….
blank	-	-	아마 자신과 같은 과정을 거쳐서 여기까지 왔으리라. 누군가에게서 빼앗았는지 제국군의 검을 들고 있었다.
reina	-	레이나	(이 인간도 무력만큼은 확실하지. 잘 이용하면 어떻게든 빠져나갈 수 있을 것 같은데?)
blank	-	-	설득할 수 있느냐가 문제겠지만, 지금은 그런 걸 가릴 때가 아니었다.
reina	-	레이나	아무래도 강행돌파하는 수밖에 없어 보이죠? 가장 방비가 허술해 보이는 저쪽 문으로, 앞장서시죠. 최선을 다해 도와줄 테니까.
lucius	-	루키어스	내가 당신을 도울 것 같나? 동생을 죽인 원수에게?
reina	-	레이나	……지금 장난하나.
reina	-	레이나	정신 차려! 시간이 없다고! 난 가문의 대표로서 의무를 다해야 해! 그건 당신도 마찬가지 아니야?
reina	-	레이나	당신은 그걸 고작 복수심 따위로 내팽개칠 만큼 무책임한 인간이야?
blank	-	-	순간 언성이 높아지자 주변의 적들이 소리를 듣고 이쪽으로 몰려들기 시작했다.
agent	-	아스터 요원	반역자가 저기 있다! 잡아라!
lucius	-	루키어스	……그렇군. 아직 지켜야 할 사람들이 남아 있을지도 몰라.
blank	-	-	지켜야 할 사람들. 상대의 그 한마디에 희미한 동질감이 느껴졌다.
lucius	-	루키어스	알겠습니다. 우선 이곳을 탈출하고 나서 생각하죠.

*	Battle	1
