Script#1 //둘째 줄부터 Parsing하므로 첫줄은 아무 내용이나 채울 것
*	BG	Dark
*	BGM	Script_Prelude
blank	-	-	<color=yellow>제국력 502년 ?월 ?일, 핀토스 저택, 지하공간</color>
blank	-	-	정신이 들었을 때, 분명히 눈을 떴는데도 보이는 건 아무것도 없었다. 움직이려는 의지가 무색하게도 의자에 정자세로 앉은 몸은 꿈틀거리지조차 않는다.
reina	-	레이나	(이번에도 그건가…….)
blank	-	-	이건 꿈이다. 빛 한 점 들어오지 않는 칠흑 속에서, 알면서도 정해진 과정을 다 거치기 전까지는 벗어나지 못하는 꿈.
blank	-	-	꿈이라기보다는 일종의 실감나는 회상일지도 모른다. 아무 행동도 선택할 수 없고, 그저 있었던 일이 그대로 흘러가되 그때의 감각만 똑같이 다시 느끼는 상황이니까.
reina	-	레이나	(후계자로서의 의식을 시작한지도 벌써 열여섯 해가 지났군.)
blank	-	-	횟수를 세는 것도 진작에 그만둔 지 오래다. 이젠 언제 어떤 일이 무슨 순서로 일어날지, 일부러 외우지 않아도 자연스럽게 머릿속에서 줄줄이 떠올릴 수 있다.
blank	-	-	장담하건대 앞으로 셋을 세기 전에 문이 열리는 소리가 날 것이다.
reina	-	레이나	(셋, 둘…….)
blank	-	-	그 생각이 끝나기도 전에 문이 열렸다. 그 틈으로 잠시 빛이 들어왔지만 그것도 잠시, 문은 닫히고 공간은 다시금 본래의 칠흑을 되찾았다.
delphi	-	델파이	레이나, 오늘은 영광스러운 날이니 잘 기억해 두거라.
delphi	-	델파이	이 의식이 끝나는 순간부터 너는 나를 이어 핀토스 가문의 다음 대표가 될 후계자다.
*	SE	PamaLight
blank	-	-	바닥에 그려진 터무니없이 거대하고 정교한 마법진이 효력을 발휘하기 시작하며, 바닥에서 퍼지는 은은한 에테르의 하늘빛으로 조금의 시야가 드러났다.
blank	-	-	그 너머에는, 굳은 표정으로 벽에 매달려 미동도 하지 않는 사람의 모습이 있었다. 그 모습은 볼 때마다 레이나 핀토스에게 두 가지 공포를 불러일으킨다.
blank	-	-	이유를 알 수 없는 본원적인 공포가 첫째. 그리고…….
reina	-	레이나	(곧 시작하겠군.)
blank	-	-	온몸을 내달리는 핏줄을 통해 조금씩 압박이 짓눌러온다. 그리고 그 힘은 시간이 흐를수록 점점 강해진다. 이윽고 압박감은 통증으로 바뀌었다.
reina	-	레이나	큭, 하앗…….
blank	-	-	마치 거인이 손아귀에 쥐고 으스러뜨리는 듯한 감각. 숨가쁘게 내뱉는 신음은 과거의 자신이 낸 것인지 지금 자신의 의식이 느끼는 것인지도 분명하지 않다.
delphi	-	델파이	견뎌라. 너는 네 엄마같은 불행한 사고를 겪지 않도록 만에 하나까지 주의를 기울이마.
delphi	-	델파이	<size=60>핀토스 가문의 영광과 인류를 위해서.</size>

*	FO
*	BG	MeetingRoom
*	BGM	Script_Pintos
*	FI

blank	-	-	<color=yellow>제국력 518년 1월 4일, 핀토스 저택</color>
*	Glos	Group	1	1
blank	-	-	새해 첫 태양일에 이루어진 <color=red>핀토스 가</color>의 저녁 만찬. 가문의 대표자인 레이나 핀토스가 화려한 휘장이 수놓인 초청장을 꺼내며 이야기를 꺼냈다.
reina	-	레이나	황제로부터 연회 초대장이 왔어요.
triana	-	트리아나	…….
aron	-	아론	늘상 있던 일이잖아. 설마 그딴 이야기를 하자고 죄다 불러모은 거라면 난 돌아가겠어.
reina	-	레이나	(그렇게 말하는 자기도 늘상 그렇듯 비협조적이군. 나 참, 자기가 못나서 대표가 못 된 게 그렇게 아니꼬운가.)
blank	-	-	별로 놀라운 일도 아닌 만큼, 어깨를 한 번 으쓱하며 적당히 무시하고 할 말을 계속하기로 했다.
reina	-	레이나	평소에 하던 귀족회 전체의 신년회가 아니라, 초청받은 건 하스켈과 핀토스 두 가문뿐이더군.
*	Glos	Group	2	1
yeong	-	영	<color=red>하스켈 가</color>가 우리를 적대한 것이 하루 이틀 일도 아니고, 어차피 그쪽이나 우리나 둘 다 폐하와 그다지 가까운 관계도 아니거늘……. 본의를 짐작하기 어려운 일이군요.
blank	-	-	말로는 '유니티 제국의 상징과도 같은 양대 가문의 우호를 증진'하기 위해서라지만…… 실제로 그럴 리가 없다는 건 이 자리의 모두가 잘 아는 일이었다.
eren	-	에렌	하스켈과 우리가 정말 가까워지면 정치적으로 곤란해지는 건 황제 본인일 텐데 말이지.
*	Glos	Person	1	1
aron	-	아론	……<color=red>황제</color>가 전쟁을 준비 중이라는 건 귀족들 사이에서는 이미 공공연한 비밀. 아직 자기가 장악하지 못한 건 하스켈과 핀토스뿐이니, 우리를 따로 설득하고 싶었을지도 모르겠군.
kashasty	-	카샤스티	그렇다 한들 이번 기회에 하스켈과의 관계를 개선할 수 있다면 나쁜 일은 아닐 듯한데…….
reina	-	레이나	하지만 친해진다는 게 한쪽만 원한다고 되는 게 아니잖아요? 벌써 3년째 서로 완전히 무시하는 상태고, 그쪽은 앞으로도 우리와 교류할 생각이 전혀 없어 보이니까요.
reina	-	레이나	(그 사건에 대해서는, 가문의 대표로서, 핀토스 가의 내부인들에게도 말할 수 없는 것이 얽혀 있기도 하고.)
reina	-	레이나	아무튼, 이번 기회에 불편한 관계는 개선했으면 좋겠네요. 하스켈 사람들이 어떻게 나올지에 달렸겠지만.

*	FO
*	BG	PartyRoom
*	BGM	Script_Peace
*	FI

blank	-	-	<color=yellow>제국력 518년 1월 18일, 황궁 연회장</color>
blank	-	-	장내는 연회와 어울리지 않게 비교적 차분한 분위기로 가라앉은 채, 병풍 역할에 그쳐야 할 악단의 연주보다도 낮은 소리로 짧은 대화만 들려오고 있었다.
blank	-	-	황궁에서 일하는 시종들도 분위기를 파악했는지 조심스럽게 제 할 일만 하고 있을 뿐이었다.
reina	-	레이나	(뭐, 당연한 일이겠지.)
blank	-	-	남보다 못한 사이 정도가 아니라 원수지간에 가까운데, 그냥 모아둔다고 저절로 친해질 리가 없다.
blank	-	-	황제의 초청장에 있는 '양가의 화합을 도모'하겠단 문구를 비웃듯, 마치 물과 기름처럼 갈라져 자기들끼리만 이야기를 나누고 있었다.
reina	-	레이나	(황제가 나타나 연설을 하기로 한 시간까지는 꽤 남았군.)
yeong	-	영	아직까지 눈에 띄는 움직임은 없군요.
*	Glos	Group	3	1
blank	-	-	최근에 들어온 핀토스의 기사. <color=red>자바</color> 북부 출신이라 특이한 이름을 쓴다.
yeong	-	영	하스켈 사람들과 한 공간에 있는 이상 사방이 적인 만큼, 수상한 행동을 하는 사람이 없나 경계 중입니다만…….
eren	-	에렌	아무리 그래도 황궁에서 칼 빼들고 우릴 죽이려 들지는 않겠지. 체면이라는 데 꽤나 얽매이는 사람들이니까.
reina	-	레이나	모처럼 이런 자리에 나왔으니, 핀토스 가문의 다른 사람들과 친해져보는 건 어때?
yeong	-	영	……노력해보도록 하죠.
kashasty	-	카샤스티	아아, 핀토스 공작님. 여기 계셨사옵니까.
reina	-	레이나	왔군요, 카샤스티 양.
blank	-	-	카샤스티 루나 러브레이스. 유력한 권세가이자 정재계 여기저기에 손을 뻗치고 있는 러브레이스 가문의 후계자.
blank	-	-	……가 될 수도 있었지만, 스스로 걷어차고 2년 전에 핀토스의 기사가 되었다. 부모가 마법공학처럼 도구를 만드는 일은 귀족에게 걸맞지 않는다며 반대했기 때문이다.
kashasty	-	카샤스티	의상을 준비하는 데 시간이 꽤 걸려서 그만. 예정보다 늦어져서 조금 염려했사오나, 폐하보다 늦는 결례를 범하지 않아 다행이옵니다.
blank	-	-	예전, 그러니까 서로 다른 가문의 후계자로 만나던 때의 모습, 그리고 평소와는 사뭇 다른 말투는 레이나로 하여금 이질감을 느끼도록 하기에는 충분했다.
reina	-	레이나	저한테까지 그렇게 열심히 예의를 차릴 필요는 없는데. 황제 앞에서만 해도 되지 않나요?
kashasty	-	카샤스티	이것은 러브레이스 가문에서 익힌 소첩의 거짓된 모습. 빈틈 없이 연기하기 위해서는 언제나 긴장을 유지해야만 하옵니다.
kashasty	-	카샤스티	아직 소첩이 가문의 그늘을 온전히 벗어나지 못했다는 사실을 상기하게 되오나……. 핀토스 경에게 폐를 끼칠 수는 없사오니.
blank	-	-	한때 자연스러울 정도였던 차림과 말투. 하지만 지금의 그는 자칫하면 조금의 충격에도 균형을 잃고 무너져 깨져버릴 것처럼 위태로웠다.
reina	-	레이나	(……누구라도 떠올리기 싫은 기억이 있는 법이겠지.)
reina	-	레이나	적어도 후계자를 그만둔 걸 후회하지는 않겠군요.
kashasty	-	카샤스티	지금 생활이 훨씬 자유로우니까요. 새장에 안주하는 공작새보다는 드넓은 하늘을 만끽하는 참새가 훨씬 아름다운 법입니다.
kashasty	-	카샤스티	그러니, 소첩은 진리를 탐구할 수 있다는 사실만으로도 얼마든지 행복한 삶을 살아갈 수 있사옵니다.
blank	-	-	눈을 빛내며, 진심을 담아 그렇게 말하는 것이었다.
triana	-	트리아나	…….
blank	-	-	또 다른 핀토스의 기사는, 평소와 마찬가지로, 아무 행동도 하지 않고 어깨를 축 늘어뜨린 채 서 있었다.
