Script#11	
*	BG	InCamp
*	BGM	Script_Normal
blank	-	-	<color=yellow>제국력 518년 1월 23일, 화물선 모노 호</color>
blank	-	-	검은 정장을 입은 소년과 하늘빛 원피스의 여성이 작은 화물선의 짐칸에 들어앉아 있었다.
blank	-	-	대부분의 신민에게는 구경조차 어려운 값비싼 옷이었지만, 제대로 관리되지 않아 얼룩과 주름으로 엉망이라 기품은커녕 어색한 느낌을 줄 뿐이었다.
eren	-	에렌	아무리 생각해도 이상하잖아.
luvericha	-	루베리카	뭐가?
blank	-	-	연회장에서 운 좋게 에렌과 마주쳐 함께 탈출했던 그는, 콜로헤임 서쪽의 항구에서 배를 타고 루아 왕국으로 간다는 말에 동행해 주겠다며 따라나섰다.
*	FO
*	FI
luvericha	-	루베리카	막연히 동경한 적이 있었거든. 예술가의 나라 루아 왕국.
eren	-	에렌	그럼 귀찮게 굴지 말고 혼자서 실컷 가시든가.
*	Glos	Etc	7	1
blank	-	-	그렇게 다툼 아닌 다툼을 하고 있던 와중에 <color=red>목걸이</color>에 신호가 잡히기 시작했다.
eren	-	에렌	(그러고 보니 어떻게 처분할까 생각만 하다가 아직 안 버리고 있었군.)
blank	-	-	그는 쓸데없는 실랑이를 그만두고 들어오는 내용을 해석하기 시작했다.
blank	-	-	"여기는 레이나 핀토스. 텔루르 산 중앙 계곡에서……"
*	FO
*	FI
eren	-	에렌	(몇십 년만에 가보는 것도 나쁘지 않겠지만, 이 사건의 진실을 알아낼 수 있는 기회는 지금이 아니면 앞으로도 없겠지. 말이 고향이지 어차피 반겨 줄 사람도 없는 것을…… 씁쓸하구만.)
blank	-	-	계획이 바뀌어 핀토스 일행을 찾아갈 거라며 떼어놓으려 했지만, 만나는 것을 확인해야 안심이 된다며 고집을 부리는 통에 어쩔 수 없이 함께 이동하고 있었다.
eren	-	에렌	내 말 제대로 알아들은 거 맞아? 난 지금 레이나 핀토스를 찾으러 가는 길이라고. 원수지간이라면서 왜 따라다니는 거야?
luvericha	-	루베리카	마음 같아서는 이번 기회에 핀토스 같은 곳에서는 벗어났으면 좋겠지만, 그래도 네가 다 자랄 때까지는 보호자가 필요하겠지.
eren	-	에렌	(헛소리. 내가 자랄 일은 영원히 없다고.)
eren	-	에렌	자기 앞가림이나 잘 하시지. 네 입장에서 보면 난 재수 없는 핀토스의 버릇없는 꼬맹이잖아. 왜 그런 놈 뒤치다꺼리를 사서 해? 바보냐?
luvericha	-	루베리카	세상에 혼자 남겨진다는 건, 정말 마음 아프고 힘든 일이야. 난 네가 그런 걸 겪지 않았으면 해.
eren	-	에렌	……이건 뭐 어디서부터 지적해야 하는지조차 감이 안 잡히는군.
blank	-	-	보호자를 자칭하는 짐짝은 잠시 생각하고 한숨을 내쉬더니 다행히도 나름의 선을 그었다.
luvericha	-	루베리카	그 사람들을 찾아주고 나면 돌아갈 거야. ……마주치고 싶지는 않으니까.
*	BGM	Script_Prelude
