Script#12				
*	BG	InCamp		
*	BGM	Script_Tense		
eren	-	에렌	하찮은 것들은 아무리 많아봤자 위협이 되지 못해.^오히려 나를 강하게 만들 뿐이지.	
man2	-	패거리2	말도 안 돼…….	
man3	-	패거리3	아, 악마다……! 도망쳐!	
eren	-	에렌	그래, 난 악마다. 잘 아네.	
blank	-	-	옛 기억이 떠오르게 만드는 멸칭.^그 때나 지금이나 인간이란 여전히 멍청하고 사악하다.	
eren	-	에렌	(망할, 정말이지 발전이라는 게 없는 종족이군.)	
luvericha	-	루베리카	너, 대체, 이건…….	
eren	-	에렌	이쪽은 정리됐으니 가서 애들을 달래주지 그래?^완전히 겁먹은 채로 떨고 있을 텐데.	
luvericha	-	루베리카	아, 그, 그래.	
eren	-	에렌	(적당한 구실로 보내 놓았으니 본론으로 들어갈까.)	
*	FO			
*	BGM	Script_Prelude		
*	FI			
man3	-	패거리3	그, 그러니까 저희는, 열 살 밑의 아이는 건강하기만 하면 남녀 가리지 않고 한 명당 두둑하게 쳐 준다는 말만 듣고…….	
man3	-	패거리3	의뢰인이 누군지는 정말 모릅니다!	
eren	-	에렌	접선은 언제 어디서 하는데?	
man3	-	패거리3	그건 그때그때 그쪽에서 일방적으로 결정하는 거라…… 매번 바뀌죠.	
eren	-	에렌	(후, 제법 철저하구만. 어쨌든 이놈들한테 볼일은 다 봤군.)	
eren	-	에렌	알겠다.	
man3	-	패거리3	그, 그럼…… 우왁!	
blank	-	-	심문은 끝났다.	
blank	-	-	아이들에게 가 있는 동행한 여자가 돌아오기 전에,^죽은 놈 산 놈 가리지 않고 강물에 던졌다.	
eren	-	에렌	(여자가 물어보면 자기들이 도망치다 뛰어들었다고 둘러대야지.^운이 좋으면 알아서 살아남겠지 뭐.)	
blank	-	-	함께 지낸 지는 얼마 되지 않았지만 알 수 있었다.^그 여자는 순진해서 이용하기 쉬운 인간형이었다.	
blank	-	-	따라온 것도 날 이용하려고 했다기보다는 특유의 멍청함이 발동한 것이리라.	
blank	-	-	백 년 넘는 인생을 겪어봐도 도저히 이해할 수 없는 족속들이다.^하지만 그런 사람들이 존재한다는 사실은, 많은 관찰로 미루어볼 때 아무래도 인정해야 할 것 같다.	
eren	-	에렌	뭘 봐? 불만 있어?	
man2	-	패거리2	아닙니다! 없고말고요!	
blank	-	-	몇 명만 남겨두고 목적지까지 배를 몰게 했다.^아까의 싸움에서 수준 차이를 깨달은 듯 저항할 생각은 없어보였다.	
*	FO			
*	FI			
blank	-	-	아이들은 곧 정신을 차렸다.	
blank	-	-	하지만 출신지는 완전히 제각각이었다.^집이 어딘지 제대로 말하지 못하는 아이도 있었다.	
luvericha	-	루베리카	이제 어떡하지?	
eren	-	에렌	후우…… 어쩔 수 없나.	
eren	-	에렌	우리가 일일이 집까지 데려다 줄 수는 없어.	
eren	-	에렌	게다가 우리와 있으면 더 위험해. 지금 처지를 잊은 건 아니겠지?	
luvericha	-	루베리카	그, 그치만.	
blank	-	-	한 아이가 중심을 잃고 주저앉았다.^자세히 보니 한쪽 발목이 완전히 부은 상태였다.	
eren	-	에렌	(……이 힘은 다신 안 쓰려고 했는데.)	
blank	-	-	잠시 갈등에 빠졌다.	
blank	-	-	하지만 긴 세월 동안 지켜온 스스로의 다짐을 깨고 싶지는 않다.^눈앞의 연약한 아이를 위해서라 할지라도.	
eren	-	에렌	망할 자식들, 끌고 다니면서 제대로 치료도 안 해주다니.	
*	BGM	Script_Normal		
blank	-	-	그 때 옆에서 난데없이 악기 연주가 들려왔다.	
luvericha	-	루베리카	어때? 괜찮아지지 않았어?	
girl	-	소녀	앗……. 네, 걸을 수 있을 것 같아요!	
*	Glos	Etc	8	1
eren	-	에렌	그냥 마법사인 줄 알았는데 <color=red>이능력자</color>였나?	
*	Glos	Etc	9	1
*	Glos	Group	2	2
eren	-	에렌	그것도 <color=red>신성력</color>이라니, <color=red>하스켈</color>치고는 특이한걸.	
luvericha	-	루베리카	이건 이능력이 아니야.	
eren	-	에렌	날 바보로 보는 거야?^앉은 자리에서 사람을 치료하는 마법 따윈 없다고.	
luvericha	-	루베리카	……소중한 사람한테, 넘겨받은 거야.	
eren	-	에렌	나 참, 뭐래.	
man2	-	패거리2	저, 저기, 도착했는데요.	
blank	-	-	배를 몰던 사내가 고개를 빼꼼 내밀고 조심스럽게 말을 꺼냈다.	
eren	-	에렌	…….	
man2	-	패거리2	저, 손님……?	
blank	-	-	수고의 인사는 그 구질구질한 삶을 끝내주는 걸로 대신할까 했다.	
blank	-	-	하지만 불쌍한 아이들에게 잔인한 기억까지 심어주고 싶지는 않았다.^쫓아내는 정도로 마무리를 지었다.	
blank	-	-	콜로헤임 남부, 강 상류의 마지막 포구.^여기서부터 모나폴리까지는 금방이다.	
*	FO			
*	FI			
blank	-	-	우리 둘은 밤이 깊을 때까지 기다렸다.^어둠을 틈타 아이들을 데리고 배에서 내렸다.	
blank	-	-	우리들도 책임져줄 수는 없는 상황이니.^알아서 흩어지도록 풀어주는 게 할 수 있는 전부였다.	
