Script#14
*	BG	Forest
*	BGM	Script_Tense
blank	-	-	제이선은 차분하게 명령을 내렸다.
json	-	제이선	동요하지 마라. 자연을 다루는 이능력을 쓸 뿐, 그 외의 교전 능력은 낮은 수준이다.
json	-	제이선	가장 위험한 공격은 바람을 한 줄기의 선으로 모아서 쏘아보내는 칼날 형태. 보고 반응할 자신이 없다면 방패를 든 자의 뒤나 나무를 활용하도록.
blank	-	-	아르카디아. 조직 내에서 겉도는 제이선이 친하게 지내지는 않았으나, 훈련 등으로 그의 방식은 여러 차례 직접 겪어 보았다.
json	-	제이선	덩굴에 발이 묶이면 즉시 주변에 도움을 요청해. 녀석들도 에테르의 제약을 받는 건 마찬가지이니, 안전에 유의하여 천천히 전진하면 확실하게 제압할 수 있다.

*	FO
*	BGM	Script_Solve
*	FI

blank	-	-	상대는 자신들의 방식이 완전히 간파된 듯한 대처에 당황하는 상황이었다. 곳곳에서 비명과 선혈을 내뿜으며 쓰러지자 다급한 목소리로 소리치는 자가 있었다.
fairy	-	요정 부족민	사악한 제국 놈들! 정녕 우리의 고향을 빼앗은 것도 모자라 새로운 터전까지 탐내야만 직성이 풀린단 말이냐!
json	-	제이선	(제국어를 할 줄 아는 자가 있었나.)
blank	-	-	제이선이 신호를 보내자 부하들은 공격을 멈췄다. 상대가 자신들이 불리하다는 사실조차 이해하지 못할 만큼 멍청한 게 아니라면 더 싸우려 할 이유는 없을 것이다.
json	-	제이선	이제야 대화를 할 생각이 들었나보군.
fairy	-	요정 부족민	흥, 목에 칼을 들이대고 하는 것도 대화라면 말이지.
json	-	제이선	무의미한 싸움을 할 생각은 없다. 물러나라.
fairy	-	요정 부족민	뭐라고? 무기를 들고 우리의 영역까지 먼저 쳐들어온 것은 네놈들이 아니냐!
json	-	제이선	먼저 공격한 건 그쪽이다. 너희의 존재를 모르고 침범한 건 사과하지. 지나가게 해 주지 않겠나?
fairy	-	요정 부족민	그, 그렇다면, 오늘의 싸움은…….
blank	-	-	그가 뭔가를 전달하자 그들끼리 모르는 언어로 웅성거리더니 물러나며, 제국어를 할 줄 아는 이는 억울하다는 듯 소리쳤다.
fairy	-	요정 부족민	이번은 그냥 물러나지만, 다음 번에 같은 일이 생긴다면 오늘 일어난 동포들의 희생까지 한꺼번에 받아낼 테다!
json	-	제이선	(……그런 비극이 있기 전에 서로의 생각을 교환할 수 있다면 좋았으련만.)
blank	-	-	그는 속으로 탄식하며, 긴장 상태에 지친 부하들을 데리고 목적지를 향한 여정을 계속하는 것이었다.

*	Scene#15
