Script#18
*	BG	MeetingRoom
*	BGM	Script_Prelude
blank	-	-	<color=yellow>제국력 518년 1월 26일, 황성, 아스터 회의실</color>
arcadia	-	아르카디아	(다 부질없는 짓이었나…….)
blank	-	-	상황 변화를 전달하고 정보를 공유, 그리고 그에 따라 방침을 정하기 위한 비정기 집행관 회의.
blank	-	-	소수민족 출신인데도 연줄도 없이 오로지 능력만으로 집행관의 자리까지 올라간 그는 최근 줄곧 무기력한 상태였다.
noel	-	노엘	아론 핀토스를 심문해서 그들이 사용하던 통신의 해석 규칙을 알아내는 데 성공했다고?
grenev	-	그레네브	물론이죠. 사람이 아프게 느끼도록 하는 건 생각보다 쉬운데, 어깨 관절 각도를 약간 바꿔준다든지, 그 상태로 입에 뭔가 물려준 다음 뒤쪽에 길쭉한 걸 집어넣는다든지……
grenev	-	그레네브	이런, 갑자기 분위기가 싸해졌군요. 농담입니다. 교섭할 때 고문 허가까지는 못 받은지라.
arcadia	-	아르카디아	(형편없는 유머감각이로군.)
blank	-	-	하지만, 알아두면 의외로 유용할지도 모른다는 생각도 들었다.
grenev	-	그레네브	상부에서 내준 교섭 재료가 좋았을 뿐입니다. 사건이 끝나면 새 대표 자리를 보장하겠다고 하니 좋다고 내주더군요.
bianca	-	비앙카	칫, 아무리 도움이 필요하다지만 역적 잔당을 이렇게 용서해도 되는 겁니까?
sepia	-	세피아	약속은 지켜지지 않았을 경우 취할 수단이 있을 때에나 유효한 것이죠. 전략의 기본입니다, 비앙카.
noel	-	노엘	……작위를 내리는 것은 황제 폐하만의 권한. 그분께서 판단하실 일이니 불필요한 언행은 삼가도록. 어제 포착한 신호의 내용은 확인했겠지?
darkenir	-	달케니르	정보부에 의뢰하여 해독은 끝내 뒀습니다.
blank	-	-	또 다른 집행관, 달케니르 쟌 시리우스가 대신 대답했다. 소수민족 출신이라는 공통점이 있지만 요정인 아르카디아와 달리 수인족이며, 유니티 제국의 식민지인 스텔라리엔의 왕자 자격으로 그 자리에 들어왔다.
blank	-	-	소수민족 출신이라는 공통점이 있지만 요정인 아르카디아와 달리 수인족이며, 유니티 제국령 식민지인 플레이아데스의 왕자 자격으로 그 자리에 들어왔다.
arcadia	-	아르카디아	(사실상 수틀리면 해코지를 하겠다는 볼모인 셈이지만 말이지.)
blank	-	-	아마도 암호 처리 따위에는 전혀 흥미가 없을 그레네브에게 심문 결과를 넘겨받았으리라.
darkenir	-	달케니르	"발신자, 레이나 핀토스. 모든 생존자는 2월 1일 해질녘, 텔루르 산 제3봉 중턱의 높은 삼나무 아래서 모일 것. 본 대표는 의무를 다하기 위해 핀토스 저택에 방문한 후 합류하겠다."
arcadia	-	아르카디아	(당신은, 아직 노력할 이유를 잃지 않은 건가?)
blank	-	-	그와 이야기를 해본 적이 있다. 오로지 고향을 향한 마음으로 살아가며, 자신의 노력으로 제국에 이익을 가져다줄수록 플레이아데스에 대한 제국의 처우는 조금이나마 나아질 것이라는 믿음에 차 있었다.
blank	-	-	……바꿔 말하면, 그는 제국 자체에 충성하는 것이 아니며, 상황이 달라지면 언제든 지금의 역할을 내팽개칠 준비가 되어 있다는 뜻이기도 했다. 그런 점에서 그는 약간의 동질감을 느낄 수 있는 상대였다.
darkenir	-	달케니르	잔당의 회합 시간에 맞춰 습격하기 위한 별동대를 파견하되, 본거지로 돌아오는 레이나 핀토스를 노리기 위한 준비를 소홀히 하지 않는다면 두 번의 기회를 잡을 수 있을 것입니다.

*	FO
*	BG	City
*	BGM	Script_Prelude
*	FI

blank	-	-	<color=yellow>제국력 518년 1월 29일, 제도 모나폴리, 중앙지구 시가지</color>
arcadia	-	아르카디아	…….
blank	-	-	그리하여 아르카디아와 아이린의 부대는 주변 지역을 구역으로 나눠 레이나 핀토스가 등장할 때를 대비해 순찰하고, 나머지는 확인된 장소를 향해 출정하도록 결정되었다.
blank	-	-	평소라면 임무를 아이린과 공동으로 수행하게 되어 기뻤겠지만, 언제부턴가 그런 생각도 좀처럼 들지 않게 되었다.
arcadia	-	아르카디아	(미로 속에서, 어디를 가도 막다른 벽만 존재하는 듯한…….)

*	FO
*	BG	PartyRoom
*	FI

blank	-	-	어릴 때 정체불명의 괴한에게 납치된 소중한 친구. 아이린의 흔적을 찾아서, 권력에 가까워질수록 더 많은 정보에 접근하고 실마리라도 찾을 수 있을 거라는 생각에 사관학교에 들어갔다.
sepia	-	아이린	…….
blank	-	-	그토록 찾던 아이린은 그곳에 있었다. 하지만.
sepia	-	세피아	착각일지도 모르겠지만 아까부터 저를 쳐다보는 듯 느껴지는군요. 무슨 용건이라도 있습니까?
blank	-	-	과거의 기억은 모두 잃어버린 채, 유니티 제국에 충성하는 사관후보생 세피아 로젠힐트가 되어 있었을 뿐이었다.

*	FO
*	BG	City
*	FI

blank	-	-	무슨 일이 있었는지 본인에게 들을 수 있다면 가장 빠른 방법이겠지만, 자신이 아이린이라는 사실조차 잊어버린 사람에게는 기대할 수 없는 일이었다.
blank	-	-	그 아이를 되돌릴 수 있다면 영혼이라도 넘길 수 있을 것만 같았다. 더 높은 자리에 도달하면 어떻게든 될 것이라고 막연히 기대하며, 남들이 보기에는 그저 야심가처럼 보이는 생활을 계속했다.
arcadia	-	아르카디아	(처음부터 막다른 길이었던 것인가.)
blank	-	-	귀족이나 정치가가 아닌, 현장에서 직접 뛰는 실무자로서는 더 이상 올라갈 곳이 없는 자리까지 도달했다. 하지만 직무와 관련되지 않은 정보는 마음대로 조사할 수조차 없었고, 그는 여전히 명령에 따라 움직이는 인형일 뿐이었다.
arcadia	-	아르카디아	(그 아이는 풀꽃을 엮어 만든 인형을 참 좋아했는데.)
blank	-	-	두 사람은 결국 똑같은 인형일 뿐이었다. 단지, 한쪽은 자각이 없고 한쪽은 있다는 차이를 제외하고는 그랬다.
arcadia	-	아르카디아	(그래, 지금처럼 가까이에서 만나 이야기를 나눌 수라도 있다면…….)
blank	-	-	현실에 안주하는 것도 나쁘지 않을지 모른다. 더 이상 나아갈 곳도, 그 아이를 되찾기 위해 할 수 있는 것도 없다.
blank	-	-	모든 임무에 적극적으로 임하던 집행관 아르카디아의 태도가 최근 급격하게 달라진 것은 그 탓이었다.
*	SE	Barrage
arcadia	-	아르카디아	음?
beggar	-	???	아이고! 죄송합니다! 한 번만 못 본 걸로 해주시면 다시는 이 근처에 얼씬도 않겠습니다!
blank	-	-	파리한 얼굴로 마지막으로 다듬은 지 몇 년은 지난 듯 엉망진창인 머리카락에 누더기를 걸친 사람이 허둥지둥하며 엎드려 머리를 조아리고 있었다.
arcadia	-	아르카디아	(생각에 너무 열중해 버렸군.)
blank	-	-	앞을 확인하지 않고 걷던 와중에 구걸하던 바구니를 걷어차버린 것이다.
arcadia	-	아르카디아	…….
blank	-	-	유니티 제국에서 구걸은 불법이다. 특히나 멀쩡한 몸으로 일할 수 있는 사람은 더더욱. 법률에 의하면 구걸을 한 자는 태형에 처하며, 상습범일 경우 작업장에서 강제 수용하도록 규정되어 있다.
blank	-	-	예전 같으면 당장 붙잡아서 치안법원에 넘겼겠지만, 지금은 아무래도 좋다는 생각이 앞섰다.
arcadia	-	아르카디아	(제국의 산업 발전 따위, 나와는 상관없는 일이지.)
beggar	-	거지	……나으리?
blank	-	-	주변에 좌판을 깔아놓은 장사치들도 슬금슬금 눈치를 보며 서둘러 자리를 뜰 준비를 하고 있었지만, 그런 모습을 무시하고 그냥 갈 길을 가기로 했다.
*	SE	Shield
blank	-	-	그 때, 아이린에게서 신호가 왔다. 레이나 핀토스를 발견했다는 의미.
arcadia	-	아르카디아	(지금은 정해진 일을 하도록 할까.)

*	Script	Scene#19
