*	bg	City
*	bgm	Script_Normal
blank	-	-	황궁 별관을 둘러싼 포위망을 뚫자, 바깥의 경계 상태는 평소와 다르지 않았다. 포위망이 뚫릴 것이라고는 가정하지 않았던 것 같다.
lucius	-	루키어스	(한숨)핀토스 경, 무사하십니까.
reina	-	레이나	그런대로요.
reina	-	레이나	(미소)아까는 사람 취급도 안 해주시더니, 지금은 걱정씩이나 해 주시네요?
lucius	-	루키어스	(당황)......
blank	-	-	생각해 보면 그랬다. 저쪽이 무사하든 말든, 아니, 오히려 그 자리에서 죽어버렸다면 죗값을 치르는 셈이었을 테니까.
lucius	-	루키어스	일시적이라 한들 동맹은 동맹. 당신이 어떤 사람이든, 지금 한편인 이상 안위에 주의를 기울이는 것은 당연합니다.
blank	-	-	그 이유는 자신도 알 수 없었지만, 우선 생각나는 대로 지어내서 얼버무리고 말았다.
reina	-	레이나	그 동맹도 이제 끝났지만 말이죠. 어쨌든 협조해 줘서 감사했어요. 저는 이만.
lucius	-	루키어스	어디로 갈 생각입니까?
reina	-	레이나	(미소)그걸 제가 알려드릴 이유는 없는 것 같군요. 그 대신, ‘동맹’으로서 다른 걸 하나 알려드리죠.
reina	-	레이나	3년 전의 일, 그건 적어도 고의는 아니었어요. 하지만 제대로 관리하지 못한 것은 제가 부족한 탓이기도 하지요. 핀토스 가문의 대표로서, 사과드립니다.
lucius	-	루키어스	(당황)그건 대체 무슨 뜻......
reina	-	레이나	그럼 이만.
blank	-	-	(레이나가 사라진다)
blank	-	-	고의가 아니라니, 그런 걸 보고서 실수였다는 변명 따위를 믿을 수 있을 리가 없다. 하지만.
blank	-	-	분명, 루시안을 죽인 이후로 다 끝냈다고 생각했는데.
lucius	-	루키어스	(나란 녀석은, 어째서......)
*	load_script	Scene#3-1
