Script#24
*	BG	RockMountain_Night
*	BGM	Script_Sad
spirit_water	-	물 정령	(크하하, 좋아, 좋다고!)
blank	-	-	적들은 한 명도 빠짐없이, 죽을 때까지 결코 물러서지 않았다.
blank	-	-	그리고 그들을 해치우며 기뻐하는 것은 이 몸에 깃든 기생충들인지, 아니면 나 자신인지조차 구분하기 어려웠다.
curi	-	큐리	끄, 끝났나요?
json	-	제이선	……어째서 그냥 돌아가지 않았단 말이냐. 얼마든지 살 수 있었던 것을.
blank	-	-	단 한 명을 제외한 모든 적이 죽었다. 마지막 한 명은 머리에서 흐르는 피가 눈을 가리는지 한쪽을 감은 채 다른 한 쪽으로 이쪽을 노려보며 대답했다.
echiman	-	에히만	네놈을 두고 싸우지도 않은 채 그냥 돌아갔다면, 그 순간 국민으로서의 우리는 죽었을 것이다.
lucius	-	루키어스	…….
echiman	-	에히만	나는 여기까지인가 보군. 위대한 유니티에 번영이 있으리.
karldrich	-	번영은 얼어죽을. 지배 계급이 생산수단을 독점하기 위한 폭력의 집합체인 국가를 뭔가 대단한 거라고 생각하나 보지?
echiman	-	에히만	이단 반역자의 기괴한 헛소리를 들은 생각은 없다. 죽여라.
karldrich	-	칼드리치	흥, 지배이념에 경도된 줄도 모르니 벗어날 생각조차 못 하는군. 유언은 끝났냐?
json	-	제이선	잠깐, 그 녀석만이라도 살려 다오. 부탁하마.
karldrich	-	칼드리치	무슨 소리야? 이놈은 전혀 들어먹을 생각조차 하지 않는 적이라고.
lucius	-	루키어스	당신, 정말로 우리와 함께할 셈인가?
json	-	제이선	……물론이다. 하지만 생각이 다를지라도 나는 상관이자 동료로서 이들을 아꼈어.
json	-	제이선	마지막 한 사람까지, 하다못해 정당한 싸움이 아닌 내 배신 때문에 죽게 만들고 싶지는 않아.
echiman	-	에히만	후후, 내가 사람을 잘못 봐도 단단히 잘못 봤군.
echiman	-	에히만	역겨운 위선자 놈, 이제 와서 양심을 찾는 거냐? 이 자리에서 내 목을 치더라도 네게 남은 미래는 죽음뿐이다!
karldrich	-	칼드리치	라는데? 살려 보내면 결국 우리에게 칼을 겨눌 게 뻔하다고.
blank	-	-	하스켈은 그 말에 눈을 감고 한참 동안 끙끙대며 생각하더니 나지막하게 대답했다.
lucius	-	루키어스	하지만 새 동료의 생각을 존중하는 것도 중요하지 않겠나?
curi	-	큐리	어찌 됐든 빨리 결정하고 돌아가죠. 피비린내나는 곳에서 오래 머물고 싶지는 않으니까.
karldrich	-	칼드리치	뭐, 됐어. 우리의 적은 제국이고, 우두머리도 아닌데 한 놈에게 얽매일 필요는 없지.
echiman	-	에히만	……반역자 자식들, 후회할 거다.
blank	-	-	그렇게 말하면서도 비틀거리며 멀어져 가고 있었다.
curi	-	큐리	저 사람은 어떻게 할 건가요? 아니, 일단 그 전에, 누구죠?
blank	-	-	팔을 똑바로 뻗어 조그마한 손으로 검지를 세운 채, 이쪽을 가리키며 그렇게 물었다.
triana	-	트리아나	(……연금술사? 일찍부터 배우기 시작했구나.)
blank	-	-	사용한 시약이나 도구를 볼 때 연금술이라는 건 확실했다. 소중했던 누이와 같은 길을 걷고 있는 아이.
triana	-	트리아나	(하지만, 그 자체를 무기로 쓰다니, 절대 평범한 발상이 아니야…….)
json	-	제이선	포로다. 하스켈이라면 알겠지만 핀토스 쪽 인간이지. 제대로 된 의사소통이 불가능한 것 같더군.
lucius	-	루키어스	…….
karldrich	-	칼드리치	이봐, 맹한 친구. 우리와 함께 이 세상을 바꾸는 혁명에 참여할 생각 없어? 어차피 갈 곳도 없잖아?
blank	-	-	그 말대로 갈 곳도 없다. 잃을 것도 없다. 이들과 함께하다가 패배해서 죽는다면, 그것 또한 나쁘지 않다. 그리고.
triana	-	트리아나	(저 애는, 누나처럼 되지 않았으면 좋겠어…….)
blank	-	-	아무것도 해줄 수 없지만, 그저 조금이라도 더 지켜보겠노라고. 그렇게 생각했다.
triana	-	트리아나	으, 어…….
blank	-	-	너무 오랫동안 말을 하지 않은 탓에, 목소리가 갈라져 제대로 소리가 나오지도 않았다.
blank	-	-	수락한다는 의사를 표현하는 것은, 그냥 고개를 끄덕이는 게 더 빨랐다.
karldrich	-	칼드리치	뭐야, 벙어리구만.
lucius	-	루키어스	여하튼 돌아가도록 하지. 디아즈 씨와도 상의할 일이 많이 생겼으니.

*	Script	Scene#25
