Script#27			
*	BG	Dark
*	BGM	Script_Prelude

blank	-	-	<color=yellow>제국력 518년 1월 31일, 모나폴리 중앙 광장</color>
blank	-	-	온몸이 묶이고 눈이 가려진 채, 받침대 위에 올라가 죽음만을 기다리고 있었다.
blank	-	카샤스티	…….
blank	-	-	공개 처형. 몇 번인가 러브레이스 가문 사람들과 함께 본 적이 있었다.
blank	-	-	발밑의 받침대가 사라지는 순간, 켁켁거리며 목에 걸린 밧줄을 붙잡고 발버둥치지만……
blank	-	-	얼마 지나지 않아 부푼 얼굴로 혓바닥을 빼물고 아래로는 오물을 쏟아내며 축 늘어지는 모습.
blank	-	-	그 때 들었던 생각은, 연민도, 공포도 아니었다.
blank	-	-	'나와는 상관없는 일'이고, 저런 징그러운 걸 일부러 와서 보는지 모르겠다는 생각뿐이었다.
blank	-	카샤스티	(나도, 그런 꼴이 된다고?)
blank	-	-	기억 속 영상에 스스로를 대입하자 그것은 몸서리쳐지는 끔찍함으로 다가왔고, 머릿속은 새하얗게 변해 아무 생각도 들지 않았다.
*	SE	Bomb
*	BGM	Script_Tense
blank	-	???	공격! 목표물을 확보해라!
blank	-	-	턱, 하고 묵직한 부자유의 감각이 느껴지며 중력이 느껴지는 방향이 바뀌었다. 아마 누군가 둘러메고 있을 것이다.
blank	-	카샤스티	(대체 누가…… 잠깐, 그럼 살 수 있는 거야?)
blank	-	제국군 병사1	습격이다! 지원을 요청해!
blank	-	제국군 병사2	뭐야! 잔당은 모두 도심 밖으로 도망쳤다고 들었는데!
blank	-	???	……이 힘, 정말로 정령이 없어도 쓸 수 있는 거였단 말이지.
blank	-	???	베벨! 곧 잔뜩 몰려올 거다!
blank	-	제국군 병사1	이 열등한 야만인 놈이……!
blank	-	제국군 병사3	별 거 아냐! 주변의 흙으로 눈을 가릴 뿐 살상력은 없……!
*	SE	Fire
blank	-	???	멍청한 놈들, 요정은 마법을 쓰지 못한다고 누가 그러던?
blank	-	제국군 병사2	위험해!
blank	-	-	힘없이 축 늘어진 몸은 불규칙하게 흔들리고, 다급한 소리들이 조금씩 멀어지며, 정신도 함께 흐려져 갔다.

*	FO
*	Gray
*	BG	MeetingRoom	
*	BGM	Script_Normal
*	FI

blank	-	-	<color=yellow>제국력 518년 1월 31일, ???</color>
blank	-	-	묶여 있던 몸이 풀리고, 시야가 돌아왔다. 아직도 팔다리가 바들바들 떨리고, 심장이 쿵쾅대는 소리가 밖으로 들릴 것만 같다.
unknown	-	???	괜찮습니까? 러브레이스 동지.
kashasty	-	카샤스티	……아아. 겨, 경황이 없지만 우선 감사부터 드리는 것이 합당한 예절이겠…… 욱.
blank	-	-	순간적으로 긴장이 풀리면서 속이 메슥거린다. 괜찮다, 괜찮다…….
unknown	-	???	아직 상태가 좋지 않아 보이는군요. 하기야 사형수를 곱게 다루진 않았을 테니 당연합니다만.
kashasty	-	카샤스티	(처음 보는 사람. 날 구해 준 사람일까?)
unknown	-	???	약초 중에서도 향이 좋은 편이죠. 좀 진정이 될 겁니다.
blank	-	-	김이 피어오르는 찻잔을 가볍게 밀어서 내놓는 상대에게 궁금한 점부터 물었다.
kashasty	-	카샤스티	당신들은 누구고, 여긴 어디죠?
blank	-	-	문득, 본론으로 들어가기 전에 자기소개를 하는 것을 잊었다는 사실이 떠올랐다.
kashasty	-	카샤스티	(어차피 내 이름은 알고 있었던 것 같고……)
blank	-	-	무엇보다, 그런 걸 일일이 챙기기엔 정신이 너무나도 피곤했다.
unknown	-	???	유니티 제국이, 그리고 유니티 제국을 적대하는 사람들의 모임이라고만 해 두죠.
kashasty	-	카샤스티	그렇다면, 저를 구해낸 목적은…….
*	BGM	Epic_Monarch
unknown	-	???	러브레이스 동지, 그리고 나아가서는 동지들 무리를 우리 조직의 상징으로 삼겠습니다.
blank	-	-	상대는 그 말을 기다렸다는 듯, 미소를 지으며 힘이 들어간 목소리로 대답했다.
