Script#28
*	BG	Library
*	BGM	Script_Solve
flamel	-	연금술사	큭, 인류의 삶을 바꿀 발견이 이렇게……!
eren	-	에렌	걱정 말라고. 네가 죽어도 세상은 계속, 영원히 발전하니까.
kashasty	-	카샤스티	멈추셔요!
reina	-	레이나	카샤스티 양?
kashasty	-	카샤스티	이미 결과물은 확보했잖아요? 이들은 자기 역할에 충실했을 뿐인데 그렇게까지 할 필요는…….
luvericha	-	루베리카	……당신은.
yeong	-	영	핵심은 이들의 머릿속에 여전히 남아있을 겁니다.
eren	-	에렌	자료가 사라져도, 몇 번의 시행착오를 거쳐 복원하는 건 시간 문제지. 확실하게 지연시키려면 관계자들을 하나라도 더 없애버려야 해.
blank	-	-	마치 벌레를 죽이는 것보다 간단한 것처럼 태연하게 말하고 있었다.
kashasty	-	카샤스티	(내용도 그렇지만, 어떻게 아무렇지도 않게……)
lenien	-	리니안	음, 아무래도 죽여서 입막음을 하는 방식은 저도 내키지 않는군요.
blank	-	-	그제야 깨달았다. 일행에는 잘 모르는 사람, 그리고 여기 있을 리가 없는 사람이 함께 있었다는 사실을.
kashasty	-	카샤스티	이분은……? 게다가 하스켈 양까지. 이게 어떻게 된 일인지요?
luvericha	-	루베리카	어쩌다 보니 잠시 신세를 지게 됐군요.
blank	-	-	떨떠름한 표정으로 대답하는 그는 지금 벌어지는 상황에 혼란스러워하는 것처럼 보였다.
reina	-	레이나	인사는 나중에! 다들 싫다면 어쩔 수 없으니 저 사람들은 놔두고 일단 빠져나가죠!
eren	-	에렌	제대로 된 이유도 없이 기회를 내다 버리다니…… 뭐, 권력을 잃은 상태에서 집단을 유지하려면 요구를 아주 무시할 수는 없겠군.

*	FO
*	BG	MeetingRoom
*	BGM	Script_Pintos
*	FI

blank	-	-	<color=yellow>제국력 518년 2월 6일, 연금술의 도시 알체스, 인터내셔널 은신처</color>
blank	-	-	핀토스 경을 찾았다고는 하지만, 그대로 사라져버리는 것은 도리가 아닌 것 같았다.
reina	-	레이나	핀토스의 기사에게 호의를 베풀었다 들었소. 감사를 표하지.
yucrrem	-	유크렘	흐음. 계획과는 달라졌습니다만…… 결과적으로는 더 잘 됐군요. 덕분에 핀토스 분들과도 접촉하기 위한 수고를 덜었습니다.
blank	-	-	스스로를 조직의 활동가 중 하나라고 소개한 그는 미소를 지으며 말했다.
eren	-	에렌	접촉이라고?
yucrrem	-	유크렘	그렇습니다. 저희는 여러분과 협력 관계를 원하고 있으니까요.
lenien	-	리니안	오면서 러브레이스라는 분께 얼핏 듣자니 당신들은 뮤를 따르는 비밀결사라고요?
yucrrem	-	유크렘	너무나도 많은 사람들이 공포정치와 과도노동에 시달리고 있지 않습니까? 체제를 바꾸는 것밖에는 방법이 없습니다.
lenien	-	리니안	결국 여기도 마찬가지였다는 건가…….
blank	-	-	낯선 이는 혼자서 중얼거리더니 입을 다물었다.
kashasty	-	카샤스티	저희를 대표자로 삼아 투쟁에 임하시겠다고 들었사온데.
reina	-	레이나	어차피 우리는 황제의 세력과 적대하는 사이이니 문제될 건 없죠. 그렇다면 저희에게 무엇을 줄 수 있죠?
yucrrem	-	유크렘	하하핫, 아직 저희에 대해 정확히 모르고 계신가 보군요.
blank	-	-	그는 날카로운 송곳니를 드러내며 큰 소리로 웃었다.
yucrrem	-	유크렘	우리는 한두 명의 몽상가와 그 친구들로만 이뤄진 오합지졸이 아닙니다. 제국 곳곳에, 대도시마다 지부와 세력권이 존재하죠.
yucrrem	-	유크렘	동맹 자체가 여러분의 이점일 겁니다. 우리의 친구로 인정받는다면, 제국 어디서든 도움을 제공받을 수 있을 테니까요.
eren	-	에렌	확실히 손해 보는 거래는 아니군. 제국을 빠져나가는 것도 번거로운 일인데 좀 수월해질 테니까.
reina	-	레이나	좋아요. 목적이 같다면, 필요할 때 협력하는 게 서로에게 도움이 되겠죠.
kashasty	-	카샤스티	(목적…… 그래요, 황제는 먼저 우리들을 죽이려 하였으니 맞서는 수밖에 없겠지요.)
kashasty	-	카샤스티	(하지만 정말 그것만으로 좋은 것일까요.)
blank	-	-	핀토스 경의 대답에 상대는 기다렸다는 듯 다음 이야기로 넘어갔다.
yucrrem	-	유크렘	좋습니다. 그럼, 여러분은 저와 함께 다시금 길을 떠나야겠군요.
yeong	-	영	목적지는 있습니까?
yucrrem	-	유크렘	물론입니다. 새로운 동맹과 인사를 해둘 필요가 있으니까요. 회합 장소까지 안내해 드리죠.

*	Script	Scene#29
