*	bg	MeetingRoom
*	bgm	Script_Normal
blank	-	-	제국력 518년 1월 19일, 회의실
blank	-	-	작전 다음 날, 아스터 집행관들은 다시 회의실에 모이게 되었다.
sepia	-	세피아	......작전이 형편없는 실패로 끝났다는 건 부인할 수 없겠군요. 변명의 여지조차 없습니다.
arcadia	-	아르카디아	정보원으로 쓸 수 있는 자를 하나 생포했다는 건 그나마 다행이라고 해야겠지만.
darkenir	-	달케니르	상대를 과소평가한 탓이 크도다. 고작 두 명이서 포위망을 뚫고, 마법진으로 강화 설계된 건물 내벽을 무너뜨리는 괴물들이라고는 생각하지 않았으니.
vianca	-	비앙카	(외침)아무리 그래도 그렇지! 어떻게 그만한 전력과 준비를 갖추고 기습을 했는데 고작 몇 놈 잡는 데 그칠 수가 있어?!
json	-	제이선	(물론 그건 작전대로 움직이지 않은 사람이 있었기 때문이지.)

blank	-	-	(FO/FI 흑백 모드)
blank	-	-	(효과음 : 총성)
kashyasty	-	카샤스티	(외침)그만두시죠! 분명 뭔가 오해하고 있는 게 분명해요!
blank	-	-	제이선의 부대는 핀토스 가문의 기사 중 한 명과 교전하고 있었다.
json	-	제이선	(나는 왜 이 일을 하고 있는 거지?)
blank	-	-	(효과음 : 휙/팍)
blank	-	-	그 의문을 향해 던진 칼날은 대답 대신 허공을 가르고 상대의 손에 정확히 박힐 뿐이었다. 그러자 상대는 들고 있던 무기를 떨어뜨리고 주저앉았다.
kashyasty	-	카샤스티	(찡그림)윽......!
json	-	제이선	이쪽은 이미 무력화했다. 서둘러서 다른 곳을 수색하고 적이 발견되면 합류하도록.
agent	-	아스터 요원	옛!
blank	-	-	(효과음 : 발소리 다수)
json	-	제이선	(......활약을 기대한다고?)
blank	-	-	마음에도 없는 말을 잘도 하는군. 항상 자기보다 못난 나를 비웃어댄 주제에.
kashyasty	-	카샤스티	(찡그림)......
blank	-	-	인간은 자신의 죽음을 직감했을 때 무엇을 느낄까. 두려움? 후회? 절망? 분노? 눈앞의 상대는 그 모든 것이 뒤섞인 표정으로 이쪽을 올려다보고 있었다.
json	-	제이선	맞은 건 손이었지. 걸을 수 있나? 아니, 달릴 수 있으면 더 좋겠는데.
kashyasty	-	 카샤스티	(당황)네?
blank	-	-	제국 따위, 이렇게까지 하면서 지켜낼 가치가 있던가? 그에 대한 답은 아직 찾지 못했다.
json	-	제이선	원래 있던 연회장으로 돌아가. 연회장 바로 옆에, 그와 연결된 황족 전용 대기실이 있어. 물론 황족과 그 수행원만 들어갈 수 있고, 지금은 아무도 없지.
blank	-	-	그깟 모나드, 어차피 시체나 마찬가지인데 아무려면 어떤가. 인체실험은 잘못이지만 절차라는 게 있는데 무조건 죽여서는 안 된다. 반역이라는 증거도 부족하다.
json	-	제이선	거기에는 만일을 대비한 비상 탈출 통로가 있어. 가운데 거울을 깨부수면 뒤에 공간이 있지.
blank	-	-	하여튼 하나부터 끝까지 마음에 들지 않는다.
kashyasty	-	카샤스티	어째서 제게 그런 걸 알려주시는 거죠?
json	-	제이선	흥, 착각하지 마라. 그저 마음 내키는 대로 행동하는 것 뿐이니까. 가다가 다시 잡히면 그 땐 못 도와주니까 알아서 하라고.

blank	-	-	(FO/FI 원래대로)
noel	-	노엘	폐하께서 도주한 자들을 최대한 빨리 추적하라 명하셨다.
noel	-	노엘	하지만 모두가 한꺼번에 움직이면 동시에 자리를 비운다는 위험도 있고, 이동 속도도 느려지겠지.
vianca	-	비앙카	제가 가겠슴다! 움직인 흔적을 추적해야 하고, 빠르게 움직여야 한다면 저만한 적임자는 없죠!
darkenir	-	달케니르	과연, 타당한 이야기지만…… 혼자서 괜찮겠느냐?
darkenir	-	달케니르	실패했을 때는 이유를 철저히 파악하고 다음 기회에 반영해야 하느니라. 적들의 무위는 우리의 예상 범위를 벗어나고 있도다.
vianca	-	비앙카	그래 봤자 상처입은 잔당이지! 숫자가 그렇게 많은 것도 아니고.
blank	-	-	학습능력이 전혀 없는 녀석이다. 멍청하긴. 그렇다고 당하게 내버려 둘 수는 없나......
json	-	제이선	애초에 네 부대는 추적과 보조에 특화되어 있다는 걸 잊지 마. 목표를 발견하면 주변의 군 부대와 연락해서 같이 공격하는 게 나을 거다.
darkenir	-	달케니르	좋은 생각이군. 그 정도라면 충분하겠지.
noel	-	노엘	현 시점에서 가장 시급한 것은 반역자들의 구심점, 루키어스 하스켈과 레이나 핀토스. 그 둘을 격파하면 나머지는 빠르게 무너지겠지.
arcadia	-	아르카디아	둘이 흩어져서 도망쳤을 경우, 비앙카 혼자서 양쪽을 쫓을 수는 없겠군요. 만에 하나 둘이 같이 행동할 경우, 비앙카 부대만으로 상대하기는 어렵기도 하고.
sepia	-	세피아	그렇다면 적어도 한 명은 더 추적 임무에 투입해야 한다는 말이 됩니다. 한 명은 레이나 핀토스, 다른 한 명은 루키어스 하스켈을 쫓도록 말이죠.
blank	-	-	가만. 그렇다면...... 공식적으로 혼자 움직일 수 있다?
json	-	제이선	그렇다면 나도 가지.
blank	-	-	이건, 기회다.
noel	-	노엘	제이선이?
blank	-	-	그는 의외라는 듯 말끝을 올리며 되물었지만, 대답을 듣기도 전에 스스로 납득한 듯 고개를 끄덕이며 허락했다.
noel	-	노엘	그럼, 국장님께는 그렇게 보고하도록 하지. 비앙카와 제이선은 지금 바로 출발할 준비를 시작해.
arcadia	-	아르카디아	잠깐. 다른 요원들은 계속 대기입니까?
noel	-	노엘	나머지는 내일 핀토스 저택을 수색하러 간다. 목적은 놈들이 빼돌린 모나드 님을 우리가 가서 확보하는 것.
noel	-	노엘 적의 본거지인 만큼 무엇이 있을지 모르니 모두 만반의 준비를 갖추도록.
sepia	-	세피아	명을 받들겠습니다.
*	load_script	Scene#3-3
