*	bg	Garden
*	bgm	Prelude
blank	-	-	제국력 518년 1월 20일, 핀토스 저택
arcadia	-	아르카디아	(여기가, 핀토스 가문…… 우리 부족의 원수들이 있던 소굴인가.)
blank	-	-	다른 임무를 받고 나간 비앙카와 제이선 부대를 제외하고, 아스터 집행부의 나머지는 수색을 위해 핀토스 저택 앞에 도착했다.
noel	-	노엘	거듭 강조하지만, 이 안에는 무엇이 있을지 모른다. 긴장을 늦추지 말도록.
noel	-	노엘	단순 고용인들은 가능한 한 생포하되, 무기를 들었거나 조금이라도 저항하는 자에 한해 즉결처분을 허가한다.
grenev	-	그레네브	(웃음)하핫! 알겠습니다앗!
blank	-	-	(효과음 : ?)

*	bgm	Scripte_Tense
blank	-	-	신호와 동시에 일제히 저택으로 진입하자마자, 경보 장치가 작동하고 보이지 않는 곳에서 아스터 집행부를 공격하기 시작했다.
sepia	-	세피아	(찡그림)큿......
blank	-	-	아이린의 작은 신음소리에 뒤를 돌아보자 목덜미의 흉터가 벌어져 작은 핏줄기가 흐르고 있었다. 놀라서 황급히 다가가 물었다.
arcadia	-	아르카디아	(놀람)괜찮아?!
sepia	-	세피아	물론입니다. 예상치 못한 공격에 반응이 늦어 조금 스쳤을 뿐. 작전에도 아무 문제 없습니다.
blank	-	-	그 말에 작게 한숨을 내쉰다. 내가 너를 어떻게 찾아냈는데, 이런 곳에서 허무하게 또 잃을 수는 없지.
sepia	-	세피아	(찡그림)떨어져 주시면 좋겠는데요. 이 정도 거리는 불편해서.
arcadia	-	아르카디아	(당황)아, 그, 그래.
blank	-	-	언제쯤이면 자신을 기억해 줄까, 그런 기약 없는 기다림으로 쓸쓸히 돌아갈 뿐이었다.
*	load_script	S2
