Script#30
*	BG	Forest_Fire
*	BGM	Script_Sad
stellarien	-	스텔라리엔1	악랄한 인간 놈들! 숲을 깡그리 태워서까지 우리를 멸해야만 직성이 풀리겠단 말이냐!
blank	-	-	완전히 전세가 기운 상황에서도, 내게 피해가 가지 않게 저항하고 있었다. 분명 내가 동족임을 의식하고 있을 터.
blank	-	-	그러나, 별의 일족에 속한 자가 말썽을 부리고, 그 결과 우리 전체의 인식을 악화시키며 인간과의 관계를 악화시킨다면.
*	SE	EtherMissile
stellarien	-	스텔라리엔2	크헉! 숨이 쉬어지질 않…….
blank	-	-	그들은 민족반역자와 다름없으며, 제국에서 플레이아데스의 입장을 대변하는 자로서 그들의 사정을 보아 줄 수는 없었다.
noel	-	노엘	진압은 거의 끝났군.
noel	-	노엘	……자리를 수습한 후 사상자를 파악하여 보고하도록.
bianca	-	비앙카	넵! ……자! 비앙카 팀, 빨리 움직여!
darkenir	-	달케니르	살아남은 자들을 모두 연행해라. 본부에서 친히 심문할 것이다.
stellarien	-	스텔라리엔1	아니……! 이건 말이 다르지 않습니까!
darkenir	-	달케니르	음? 누가 이 몸이 뭔가 편들어줄 거라고 헛소리를 하던가? 안됐군. 너희가 속았다.
blank	-	-	미세하게 떨리는 목소리로 애써 평정을 가장한다. 겉에서 티가 나지만 않으면 괜찮을 것이다…….
blank	-	-	적으로 만난 나를 신경쓸 정도로, 그들이 일족을 그리워하는 마음은 컸을 것이다.
sepia	-	세피아	무릇 짐승이면 주제를 알고 얌전히 막일이라도 하는 것이 나았을 터. 너희의 파멸은 스스로가 자초한 일이다.
blank	-	-	강제로 타향에 끌려와 노예가 된 그들의 먼 조상부터, 차별과 멸시로 몇 대에 걸쳐 쌓인 한은 결코 가벼운 것이 아니리라.
darkenir	-	달케니르	(내 어찌 모르겠느냐. 고귀한 혈통이며 그들의 협력자인 이 몸에게조차 면전에서 대놓고 비웃지 않을 뿐 충분히 느끼고 있는 것을.)
darkenir	-	달케니르	(이런 곳에서 너희가 어떤 삶을 살아갔을지, 미루어 짐작하는 것조차 실례가 되겠지. 허나.)
blank	-	-	동족이 피를 흘리며 고통스러워하고 있다. 그 모습은 마치 우리의 역사와도 같았다.
stellarien	-	스텔라리엔1	하지만 그렇게 말한 건 바로……!
*	SE	Gun
blank	-	-	망설이면 안 된다. 냉혹하고도 고독한 한 마리 늑대가 되어야만 한다.
darkenir	-	달케니르	본래 무의미한 죽음으로 끝났을 그대들의 행동은, 오히려 이 몸의 손으로 진압되었기에 민족을 위한 희생이 된 것이다. 기뻐하라.
arcadia	-	아르카디아	…….
darkenir	-	달케니르	(너희의 희생은 우리 민족이 인간들과 동등한 인격체로 대우받는 발판이 될 것이다.)
blank	-	-	이국에서 고통받으며 살다가 간 이름 모를 동족에게, 짧은 묵념으로 조의를 표하는 것이 마지막 대화가 되고 말았다.

*	Script	Scene#31
