Script#6			
*	BG	Forest	
*	BGM	Script_Tense	
yeong	-	영	뭐 하는 거야?!
triana	-	트리아나	…….
blank	-	-	아무 말도 없다. 반항하지도, 도망치지도 않는다.^멈춰 서 있을 뿐.
blank	-	-	적들도 이상함을 눈치챘는지 나를 제압하는 데만 집중하고 있다.
json	-	제이선	…….
blank	-	-	적들의 지휘자도 별로 공을 세울 생각이 없어보인다.^가만히 서서 우릴 지켜보기만 했다.
yeong	-	영	(이유는 모르겠지만 그나마 다행인가…….^아직까지는 탐색전이었지만, 이쪽의 밑천이 드러나면 퇴로가 막혀버린다.)
yeong	-	영	(저 녀석도 핀토스의 기사이고 좀 알고 지낸 상대라 도와주고 싶지만, 이 정도로 비협조적이라면 어쩔 수 없지.)
blank	-	-	가문의 대표 레이나는 아마 죽었을 것이다.^혹시 나처럼 기적적으로 탈출했다고 해도 귀족으로서 살아가는 것은 불가능하다.
blank	-	-	그렇다면 날 필요로 하지는 않을 터.^내 가치를 인정해줄 사람을 다시 찾아다닐 수밖에 없다.^그래야만 살아갈 수 있었으니까.
yeong	-	영	(탈출하기 위해서는 어쩔 수 없군.)
*	SE	Slash	
blank	-	-	나는 트리아나의 목을 노리고 온 힘을 다해 도검을 휘둘렀다.
triana	-	트리아나	?!
agent	-	아스터 요원	대체 무슨 짓을……!
blank	-	-	물론 죽이려는 건 아니다.
blank	-	-	나도 가문 내에서 들은 정보가 있으니까.^이걸로 그가 죽진 않으리란 확신이 있다.
blank	-	-	역시 이번에도 그의 몸이 알아서 막아냈다.^그리고 ‘그것’을 깨운 것으로 충분하다.
blank	-	-	주인의 위험을 감지한 정령은 무차별적으로 주변을 공격하니까.
triana	-	트리아나	큭! 다가오지 마……!!
agent	-	아스터 요원	이 자식, 갑자기 왜 이래!
json	-	제이선	…….
blank	-	-	내가 자기 편을 공격한다는 예상치 못한 전개.^그리고 모든 걸 포기한 줄 알았던 적이 갑작스럽게 공격을 시작.
blank	-	-	순간적인 틈을 만들기에는 충분했다.
agent	-	아스터 요원	잠깐, 도망친다!
blank	-	-	그 빈틈을 노려 포위망을 뚫어냈다.
yeong	-	영	(한동안 다시 떠돌이 신세가 되겠군.)
*	Script	Scene#7	
