Script#9-1			
*	BG	City	
*	BGM	Script_Prelude	
bianca	-	비앙카	(이번엔 반드시……!)
blank	-	-	비앙카 프레이는 출장에서 돌아오자마자, 휴식도 마다하고 다음 날 새로운 임무에 나섰다.
blank	-	-	본래 중소 귀족일 뿐이었지만 몇 년새 탁월한 사업 능력으로 떠오르는 러브레이스 가문. 국내 정세를 어느 정도 아는 사람이라면 모를 수가 없는 이름이다. 
blank	-	-	이번 임무는 그들의 저택에서 수행한다. 아스터 집행부는 목표 앞에서 작전을 실행하기 직전의 준비 상태를 점검하고 있었다. 
grenev	-	그레네브	어우 야, 이건 엄청난데. 핀토스 녀석들보다도 으리으리하군. 
bianca	-	비앙카	러브레이스 가문의 재력은 독보적이니까 말이지.
blank	-	-	이번 기회에 이들과 관계를 터 두는 것도 좋을 것이다. 뭐니뭐니해도 핏줄 같은 무의미한 것에 연연하지 않고 대의를 위할 줄 아는 사람들이니까.
darkenir	-	달케니르	겉으로 보이는 모습이 거창해봤자 무슨 의미가 있겠느냐. 마지막까지 믿어야 하는 관계조차 스스로 내버리는 어리석은 자들인 것을. 
grenev	-	그레네브	완전 농담같은 상황 아니냐? 기껏 도망쳐 왔는데 가족들한테 곧바로 밀고당하다니, 푸헤헤헷. 
sepia	-	세피아	반역자의 존재는 가문의 수치. 조금이라도 빨리 씻어내고 싶은 것이 당연하겠지요. 
darkenir	-	달케니르	……뭐, 이런 자리에서 따질 문제는 아니겠지. 그나저나 비앙카여. 제법 멀리 파견을 나갔다가 바로 어제 돌아왔을 텐데 괜찮겠는가? 
sepia	-	세피아	컨디션 관리도 중요한 덕목이죠. 스스로 해야 할 일입니다. 
grenev	-	그레네브	야야, 기습으로 한 놈 붙잡겠다고 집행관 넷에 요원이 몇 명인데. 쟤 상태야 좋든 나쁘든 별로 상관없잖아? 
grenev	-	그레네브	하여간 부장도 너무 쫄보라니까. 생포는 재미도 없는 임무인데 귀찮게스리. 
bianca	-	비앙카	노엘 님을 함부로 말하지 마! 
grenev	-	그레네브	늬예~ 늬예~ 
bianca	-	비앙카	……우두머리인 레이나 핀토스를 놓쳐버린 내 잘못이야. 그래서 이번엔 만에 하나까지 대비하신 거지. 
blank	-	-	마찬가지로 반역자 잔당을 추적하러 떠난 제이선은 두 명을 발견해 한 명을 생포했다는데, 그렇지 못한 자신이 분할 뿐이었다. 
bianca	-	비앙카	난 걱정 말라고. 그걸 너그럽게 이해해 주신 노엘 님의 은혜를 갚기 위해서라면 이 정도는……! 
*	FO		
*	Disapp	all	
*	BG	Grassland	
*	BGM	Script_Tense	
*	FI		
blank	-	-	혼자 서 있는 레이나 핀토스. 주위에 수십 명의 제국군이 쓰러져 있다. 비앙카 프레이는 조금 떨어진 나무 위에서 그런 광경을 놀란 얼굴로 바라보고 있었다. 
bianca	-	비앙카	어째서 그런 능력이 있으면서 좋은 데 쓰지 않는 거야! 왜! 이 악당!
blank	-	-	분했다. 그 능력으로 제국의 영광에 이바지했다면 얼마나 좋았을까. 충분히 그럴 수 있었는데 대체 왜. 
reina	-	레이나	글쎄. 네가 말하는 ‘좋은 데’...... 그거 정말 좋은 거라고 생각해? 
bianca	-	비앙카	무슨 헛소리야? 
reina	-	레이나	너와 내가 이해하지 못하고 부딪치는 건, 좋다고 생각하는 게 서로 다르기 때문이 아닐까?
bianca	-	비앙카	…… 
reina	-	레이나	그 옳고 그름을 가리는 방식이 이렇게 된 건 유감이지만…. 네가 걸어온 싸움이니, 끝을 보겠다면 사양하진 않겠어. 
blank	-	-	물론 바보가 아닌 이상 그딴 도발에 응할 리가 없다. 함정과 마법진 전문인 자신이 수십 명을 쓰러뜨리는 상대를 일대일로 이길 방법은 없으니까. 
blank	-	-	하지만 그것을 알기에 더욱 답답한 것이다. 
bianca	-	비앙카	두고 봐! 넌 이미 수배됐어! 꼭 찾아낼 거야! 다음 번엔 절대로 안 놓칠 거라고! 
*	FO		
*	Disapp	all	
*	BG	City	
*	BGM	Script_Prelude	
*	FI		
blank	-	-	상대는 단 한 명, 그것도 함정에 걸린 상태였는데도 나름 뛰어나다는 아스터 요원들이 당해내지 못했다. 
bianca	-	비앙카	(충심은 가짜라도, 실력까지 가짜는 아니라는 건가……?) 
blank	-	-	레이나 핀토스는 자신이 옳다고 주장했지만, 그럴 리가 없다. 반역자 주제에. 
blank	-	-	그렇게 고개를 흔들면서, 자신의 모든 것이나 마찬가지인 유니티 제국에 대한 의심을 털어내는 것이었다. 
darkenir	-	달케니르	좋다, 준비가 되었으면 가자꾸나. 
*	Battle	5	
