owner,requireLevel,toBeReplaced,originSkillName,displayName,isBuff,isInfinite,isStackable,isOnce,defaultPhase,StackVar,maxStack,isRemovable,effectName,effectVisualType,effectMoveType,numberOfActualElement,statusEffectType_01,amountVar,amountCoef,amountBase,isPercent,isMultiply,statusEffectType_02,amountVar,amountCoef,amountBase,isPercent,isMultiply,statusEffectType_03,amountVar,amountCoef,amountBase,isPercent,isMultiply
reina,8,FALSE,상처 태우기,내상,FALSE,FALSE,FALSE,FALSE,2,-,99,TRUE,None,None,None,1,TakenHealChange,Stack,-10,0,TRUE,TRUE,,,,,,,,,,,,
reina,15,FALSE,잉걸불,지속 피해,FALSE,FALSE,FALSE,FALSE,2,-,1,TRUE,None,None,None,1,DamageOverPhase,Power,1.3,0,FALSE,NONE,,,,,,,,,,,,
reina,29,FALSE,에테르 과부하,에테르 과부하,FALSE,FALSE,FALSE,FALSE,1,-,1,FALSE,None,None,None,1,Etc,X,X,X,FALSE,NONE,,,,,,,,,,,,
reina,43,FALSE,열상 낙인,화속성 약점,FALSE,FALSE,FALSE,FALSE,2,-,99,TRUE,None,None,None,1,FireWeakness,Stack,10,0,TRUE,TRUE,,,,,,,,,,,,
lenien,0,FALSE,감전,저항력 감소,FALSE,FALSE,FALSE,FALSE,1,-,1,TRUE,None,None,None,1,ResistanceChange,Level,-0.6,-42,FALSE,FALSE,,,,,,,,,,,,
lenien,8,FALSE,하전 파동,기절,FALSE,FALSE,FALSE,FALSE,1,-,1,TRUE,None,None,None,1,Faint,X,X,X,FALSE,NONE,,,,,,,,,,,,
lenien,15,FALSE,피뢰침,기절,FALSE,FALSE,FALSE,FALSE,1,-,1,TRUE,None,None,None,1,Faint,X,X,X,FALSE,NONE,,,,,,,,,,,,
lenien,15,FALSE,정전기 유도,정전기,FALSE,FALSE,FALSE,FALSE,2,-,1,TRUE,None,None,None,1,Etc,X,X,X,FALSE,NONE,,,,,,,,,,,,
lenien,29,FALSE,자기 부상,자기 부상,TRUE,TRUE,FALSE,FALSE,9999,-,1,FALSE,None,None,None,1,Etc,X,X,X,FALSE,NONE,,,,,,,,,,,,
lenien,36,FALSE,에테르 전위,저항력 감소,FALSE,FALSE,FALSE,FALSE,1,-,1,TRUE,None,None,None,1,ResistanceChange,Level,-0.6,-42,FALSE,FALSE,,,,,,,,,,,,
lenien,43,FALSE,축전,전하막,TRUE,FALSE,FALSE,FALSE,2,-,1,TRUE,None,None,None,1,Etc,X,X,X,FALSE,NONE,,,,,,,,,,,,
lenien,43,FALSE,입자 가속,공격력 증가,TRUE,TRUE,TRUE,FALSE,9999,-,99,FALSE,None,None,None,1,PowerChange,Stack,10,0,TRUE,TRUE,,,,,,,,,,,,
yeong,0,FALSE,방랑자,회피,TRUE,FALSE,FALSE,TRUE,1,-,1,TRUE,None,None,None,1,EvasionChange,O,0,15,TRUE,FALSE,,,,,,,,,,,,
yeong,1,FALSE,어려운 목표물,도발,FALSE,FALSE,FALSE,FALSE,3,-,1,TRUE,None,None,None,1,Taunt,X,X,X,FALSE,NONE,,,,,,,,,,,,
yeong,1,FALSE,동체 시력,회피,TRUE,FALSE,FALSE,TRUE,1,-,1,TRUE,None,None,None,1,EvasionChange,O,0,10,TRUE,FALSE,,,,,,,,,,,,
yeong,8,FALSE,간파,회피,TRUE,FALSE,FALSE,TRUE,1,-,1,TRUE,None,None,None,1,EvasionChange,O,0,15,TRUE,FALSE,,,,,,,,,,,,
yeong,8,FALSE,기척 감지,회피,TRUE,TRUE,TRUE,TRUE,9999,-,99,TRUE,None,None,None,1,EvasionChange,Stack,5,0,TRUE,FALSE,,,,,,,,,,,,
yeong,15,FALSE,질풍노도,질풍노도,TRUE,TRUE,TRUE,FALSE,9999,-,99,TRUE,None,None,None,2,DefenseChange,Level,0.1,8,FALSE,FALSE,ResistanceChange,Level,0.1,8,FALSE,FALSE,,,,,,
yeong,15,FALSE,위험 돌파,회피,TRUE,FALSE,TRUE,TRUE,1,-,1,TRUE,None,None,None,1,EvasionChange,LostHpPercent,0.2,0,TRUE,FALSE,,,,,,,,,,,,
yeong,29,FALSE,초감각,회피,TRUE,FALSE,FALSE,TRUE,9999,-,1,TRUE,None,None,None,2,EvasionChange,O,0,100,TRUE,FALSE,Etc,X,X,X,FALSE,NONE,,,,,,
yeong,36,FALSE,무아지경,공격력 상승,TRUE,TRUE,TRUE,FALSE,9999,-,99,TRUE,None,None,None,1,PowerChange,O,0,3,TRUE,TRUE,,,,,,,,,,,,
yeong,36,FALSE,끝없는 단련,회피,TRUE,FALSE,FALSE,TRUE,1,-,1,TRUE,None,None,None,1,EvasionChange,O,0,15,TRUE,FALSE,,,,,,,,,,,,
yeong,43,FALSE,명경지수,회피,TRUE,FALSE,FALSE,FALSE,2,-,1,TRUE,None,None,None,1,EvasionChange,O,0,10,TRUE,FALSE,,,,,,,,,,,,
eren,0,FALSE,흡수,흡수,TRUE,FALSE,TRUE,FALSE,3,-,99,TRUE,None,None,None,1,Etc,X,X,X,FALSE,NONE,,,,,,,,,,,,
eren,1,FALSE,광휘,강타,TRUE,FALSE,FALSE,TRUE,1,-,1,TRUE,None,None,None,1,Smite,O,0.1,0.6,FALSE,FALSE,,,,,,,,,,,,
