*	bg	MeetingRoom
*	bgm	Epic_Monarch
blank	-	-	제국력 518년 1월 18일, 황궁 연회장
blank	-	-	본래 휴일이어야 할 오늘, 아스터 집행관들은 집행부장 노엘의 집합 명령을 받고 회의실에 모였다.
darkenir	-	달케니르	(물론 특수작전과 자체가 유사시를 대비해서 있는 조직이기는 하지만.)
blank	-	-	그 말은 지금이 그 ‘유사시’라는 뜻이기도 했다.
noel	-	노엘	이상의 자료를 통해 하스켈과 핀토스 가문이 반란을 꾀하고 있다고 판단, 연회장에 모여 있는 전원을 예외 없이 처단한다.
arcadia	-	아르카디아	알겠습니다. 휘하 요원들에게 일러두도록 하죠.
bianca	-	비앙카	(분노)이런 고얀 것들! 하나도 남김없이 쓸어버리겠슴다!!
grenev	-	그레네브	(외침)오옷! 평소에는 어지간히 반항하는 놈들도 즉결 허가조차 안 내주시던 분이! 이건 부임 이후 최초인 것 같은데 말이죠!!
noel	-	노엘	......나는 황명을 따를 뿐이다.
sepia	-	세피아	좋아할 일은 아닙니다. 그만큼 상대의 위험성이 높게 평가되었다는 뜻이니까.
blank	-	-	그 전에 저 인간 도살자같은 취향은 누가 어떻게 좀 해 줬으면 좋겠지만…… 언제나처럼, 덕분에 이쪽은 손을 더럽힐 필요가 없으니 서로 좋은 일이라고 넘어가고 말았다.
blank	-	-	어차피 제국 놈들끼리 죽고 죽이는 일인데, 자신은 맡은 일만 제대로 하면 그만이니까.
noel	-	노엘	아, 제이선.
json	-	제이선	부르셨습니까.
noel	-	노엘	활약을 기대한다, 라고 국장님이 전달해 달라더군.
json	-	제이선	......알겠습니다.
*	load_script	Scene#1-3
*	load_battle	1
