*	bg	MeetingRoom
*	bgm	Script_Normal
blank	-	-	제국력 518년 1월 19일, 황제의 집무실
blank	-	-	(효과음 : 팍)
blank	-	-	황제가 던진 명패가 파이선의 머리에 맞은 후 허공을 날았다.
tumna	-	툼나	(분노)가장 중요한 두 놈을 모두 놓쳤다고? 일 처리를 대체 어떻게 하는 거야!
blank	-	-	모서리를 맞아 한 줄기 피가 흘렀지만 미동도 하지 않고 서 있을 뿐이었다.
python	-	파이선	송구합니다.
tumna	-	툼나	(찡그림)제기랄. 셀다 그년도 눈엣가시처럼 거슬리는데......
blank	-	-	그렇게 혼잣말을 하다 말고 푹신한 의자에 등을 기대며 숨을 크게 내쉬었다.
python	-	파이선	이미 수배령을 내려 두었으니, 제국 각지에 깔려 있는 이목을 피해서 도망칠 수는 없을 겁니다.
tumna	-	툼나	그딴 건 필요없어. 시체라도 상관없으니 최대한 빨리 내 눈앞에 끌고 와.
python	-	파이선	......최선을 다하겠습니다.
tumna	-	툼나	후우.
blank	-	-	교단에서 보낸 생명술사들은 정신적으로 항상 날카로운 상태인 것이 건강에 좋지 않다고 늘상 떠들어대지만, 자리를 빼앗으려는 불충한 것들이 한둘이 아니거늘 어찌 마음이 편하겠는가.
blank	-	-	역적들을 놓쳤다는 말에 아직도 머리가 지끈거린다. 일단 좀 평정을 되찾을 필요가 있다.
tumna	-	툼나	나가 봐. 그리고 연구부장에게 알현을 명했다고 전해.
python	-	파이선	명을 받들겠습니다.
*	load_script	Scene#3-2
*	load_script	Scene#4
