*	bg	MeetingRoom
*	bgm	Script_Normal
blank	-	-	거대한 탁자에는 만찬이 차려져 있고, 그 주변에 십여 명의 사람들과 빈 의자 하나가 둘러앉아 있었다. 음식에 손을 대는 사람은 아무도 없었다.
reina	-	레이나	다들 모였나요?
triana	-	트리아나	잠깐 아직 러브레이스 씨가......
yeong	-	영	연락을 못 받았나. 어디 멀리 나갔던가요?
eren	-	에렌	오늘 학회가 있다고는 들었지만, 어차피 모나폴리 중앙 지구를 벗어나지는 않을 테니까 연락을 받지 못할 이유는 없다고 생각하는데.
reina	-	레이나	흐음...... 기약도 없이 기다릴 수는 없으니 일단 시작하도록 할까요. 나중에 따로 전달하도록 하죠.
nameA	-	이름A	핀토스의 혈족들도 모두 정확히 참석했는데 어찌 한낱 기사 따위가......!
blank	-	-	그 순간 문이 열리고 빈자리의 주인이 나타났다.
kashyasty	-	카샤스티	......죄송합니다. 목걸이가 빛나는 건 확인했는데, 발표가 끝나고 토론이 길어지는 바람에 늦게 끝났네요.
reina	-	레이나	괜찮아요. 이제 막 시작하려는 참이었으니까.
nameA	-	이름A	......
nameB	-	이름B	앉으시게, 핀토스의 기사 러브레이스여.
blank	-	-	그녀가 문을 닫고 자리에 앉으려 탁자 쪽으로 걸어오는 순간, 레이나가 당황한 얼굴로 제지했다.
reina	-	레이나	아, 카샤스티야? 저기 문이...... 
kashyasty	-	카샤스티	아참, 미안해요. 문 닫는 거 싫어하죠? 정신이 없어서 깜빡했네요.
nameA	-	이름A	무슨 일로 우릴 불러모은 거지?
reina	-	레이나	황제로부터 연회 초청장이 왔어.
triana	-	트리아나	......연초에 연회가 있는 게 그렇게 이상한 일인가요?
blank	-	-	레이나는 초청장을 꺼내 모두에게 보여주며 이야기를 계속했다.
reina	-	레이나	평소에 하던 귀족회 전체의 신년회가 아니라 초청받은 건 하스켈과 핀토스 두 가문 뿐, 말로는 유니티 제국의 상징과도 같은 두 가문의 우호를 증진하기 위해서라는데......
nameB	-	이름B	하스켈 가가 우리를 적대한 것이 하루 이틀 일도 아니고, 어차피 그쪽이나 우리나 둘 다 황제 폐하와 그다지 가까운 관계도 아니거늘...... 본의를 짐작하기 어려운 일이구려.
nameC	-	이름C	그것도 우리 기사들까지 모두 반드시 참석하라니, 확실히 이례적인 일입니다.
yeong	-	영	유니티 제국의 양대 귀족가인 만큼 가까우면 제국에게도 좋은 일이라고 생각한 게 아닐까요.
eren	-	에렌	글쎄. 틀린 말은 아니지만 '그' 황제가 겨우 그런 이유로 이렇게까지 하려고 할까? 오히려 하스켈과 우리가 가까워지면 정치적으로 귀찮아지는 건 본인일 텐데 말이지.
nameA	-	이름A	툼나 황제가 전쟁을 준비 중이라는 건 귀족들 사이에서는 이미 공공연한 비밀. 아직 자기가 장악하지 못한 건 하스켈과 핀토스뿐이니, 우리를 따로 설득하고 싶었을지도 모르겠군.
kashyasty	-	카샤스티	그래도 이번 기회에 하스켈 가와의 관계를 개선할 수 있다면 나쁜 일은 아닐 듯하온데.
reina	-	레이나	그렇긴 한데, 친해진다는 게 한쪽만 원한다고 되는 게 아니잖아요?
nameC	-	이름C	벌써 3년째 서로 완전히 무시하는 상태고, 그쪽은 앞으로도 우리와 교류할 생각이 전혀 없어 보이니 말이죠.
reina	-	레이나	......
blank	-	-	카샤스티는 잠시 레이나를 바라본다.
kashyasty	-	카샤스티	('그 날'에 대한 이야기가 나올 때마다 항상 긴장한 표정이다. 더 이상은 알려고 하지 말아달라고, 소리 없이 부탁하는 것처럼.)
kashyasty	-	카샤스티	(내가 아는 바에 따르면, 3년 전 핀토스 경은 하스켈 가의 사람들을 저택에 초대했다고 한다. 그리고 그날 이후 핀토스와 하스켈 사이의 교류는 완전히 끊어졌다.)
kashyasty	-	카샤스티	(그녀보다 훨씬 옛날부터 핀토스의 기사였다는 에렌 님은 당시 저택에 있었음에도 사건에 대해서는 알지 못한다고 한다. 자기도 굉장히 궁금해하는 눈치라, 거짓말은 아닌 것 같다. 본인 말로는 모습을 드러내기 싫어서 방에 임시 결계를 쳐놓고 책만 읽고 있었다고.)
kashyasty	-	카샤스티	(대체 그날 어떤 일이 있었기에......?)
kashyasty	-	카샤스티	(핀토스 경. 지금은 어쩔 수 없이 그런 거라고, 언젠가는 말해줄 거라고 믿겠어요. 그러니까...... 일단은, 넘어갈게요.)
kashyasty	-	카샤스티	오. 오히려 그렇기 때문에 억지로라도 만나게 하려는 거 아닐까요?
eren	-	에렌	그럴 가능성도 없지는 않지만, 아무리 생각해도 그걸로 황제가 득을 볼 게 없어. 뭔가 꿍꿍이가 있을 텐데......
reina	-	레이나	어쨌든 저도 이번 기회에 불편한 관계가 개선했으면 좋겠네요. 하스켈 사람들이 어떻게 나올지에 달렸겠지만.
*	load_worldmap	Pintos2
