yeong,-,영,(찡그림)……후우.,
reina,-,레이나,(안색이 좋지 않은걸. 오래 끌면 안 되겠어.),
grenev,-,그레네브,자자! 다들 쫄지 말고 얼른 가서 시선 좀 끌어봐!,
grenev,-,그레네브,(놀람)빈틈이 나면 내가 막타를 칠......앗?!,
blank,-,-,"그 순간 바다에서 검은 손들이 올라오더니 달케니르라 불린 수인의 발목을 붙잡았다. 손은 곧 모습이 의미해졌지만, 달케니르는 여전히 발을 움직이지 못하고 있었다.",
darkenir,-,달케니르,"(당황)무, 무슨 수작을......!",
blank,-,-,그러는 사이에 먼 거리에서 일렁이는 검은 빛무리의 화살들이 그를 향해 일직선으로 날아왔다. 상당한 거리에서도 느껴지는 에테르의 농도에 달케니르는 위험을 직감했다.,
darkenir,-,달케니르,(전부 맞으면 죽는다......!),
blank,-,-,"들고 있던 (라이플의 형태 확정 후 묘사)이 지팡이의 형태로 변하더니, 회오리를 일으키며 화살들을 흡수하기 시작했다. 그러나 모두 흡수해낼 수는 없었는지 남은 것들에 직격당하고는 상당한 거리를 날아가 쓰러지고 말았다.",
eins,-,아인츠,"(당황)야, 괜찮냐!",
sepia,-,세피아,기습......!,
darkenir,-,달케니르,"(찡그림)쿨럭...... 급하게나마 막기는 했는데도, 실로, 엄청난 충격이군......",
blank,-,-,휘청거리며 일어난 그는 피가 섞인 기침을 토해 냈다.,
sisterna,-,시스터나,,
