reina	-	레이나	분명 이 산에 사는 게 확실한데...... 한 번 직접 보기도 했고.
sisterna	-	시스터나	(한숨)이 큰 산을 온통 뒤지려고 당연히 며칠째 못 찾죠. 뭔가 더 효율적인 방법이 있지 않을까요?
eren	-	에렌	아무리 그래도 제국 반대편까지 걸어가는 것보단 낫겠지만, 확실히 더 효율적인 방법이 있으면 좋겠다는 생각은 드는군. 슬슬 지겨워지는 참이라서.
sisterna	-	시스터나	(기본)아! 나무들을 다 태워버리면 금방 찾지 않을까요? 핀토스 씨 태우는 거 잘 하시던데.
yeong	-	영	서식지가 없어지면 있던 녀석도 다른 곳으로 가버리지 않을까요?
sisterna	-	시스터나	칫, 그런가.
reina	-	레이나	(한숨)좀 쉬었다가 다시 움직이죠.
luvericha	-	루베리카	(한숨)후아.
blank	-	-	루베리카가 옆에 있던 평평한 바위에 주저앉으며 어깨에 메고 있던 가방을 옆에 내려놓았따. 그러자 그녀를 보며 고개를 갸웃거리던 시스터나가 물었다.
sisterna	-	시스터나	그거 꽤 무거운가 봐요? 산 오르내리면서 굳이 들고 다닐 필요는 없을 것 같은데.
luvericha	-	루베리카	......마법에 필요해서요. 언제 써야 할지 모르니까.
sisterna	-	시스터나	마법에 딱히 뭐가 필요하던가......? 그보다, 안에 든 거 악기 같은데 아니었어요?
eren	-	에렌	일종의 연상 작용이라는 거지. 가끔 보면 마법을 씅 때 주문을 읊는다거나 하는 녀석들 있잖아? 그거랑 비슷해. 실제로는 집중에 도움이 되기만 하면 뭐든 상관없지.
eren	-	에렌	......악기는 좀 특이한 것도 사실이지만.
luvericha	-	루베리카	마법을 배우기 전부터, 가장 집중할 수 있는 건 음악이었으니까.
blank	-	-	그렇게 말하고는 악기를 꺼내고 손을 움직이기 시작한다.
luvericha	-	루베리카	가장 익숙한 건 건반이지만, 그건 들고 다닐 수가 없어서.
luvericha	-	루베리카	(어째서일까? 보통은 보조 수단을 쓰는 마법사라도 효과가 떨어질지언정 마법을 사용할 수는 있는데. 왜 나는, 이게 없으면 에테르를 움직일 수 없는 걸까......)
sisterna	-	시스터나	(흥분)하하! 모름지기 현악기란 말이죠, 옛날 옛적에 살았던 피타고라스라는 이름의 수학자가 줄의 길이의 비가 2대 3, 3대 4와 같은 간결한 정수의 비로 표현되면 화음이 발생한다는 사실을 발견하였는데, 이것도 결국 길이에 따라 진동수가 달라져서 음의 높낮이가 다르다는 원리에 의한 것이므로 물리학적 현상의 일종이라 할 수 있지요!
reina	-	레이나	(한숨)......그냥 감상하면 안 될까요.
*	load_script	pintos#15-2
