*	bg	Forest
*	bgm	Boss_Orchid
blank	-	-	사람들이 연주를 감상하고 있을 무렵 한쪽에서 거대한 물체가 다가왔다.
mistery	-	???	키이이익......
sisterna	-	시스터나	......어째 하늘이 좀 어두워진 것 같지 않아요?
eren	-	에렌	그런가?
reina	-	레이나	위!
orchid	-	오키드	키이익!
luvericha	-	루베리카	꺄앗!
eren	-	에렌	드디어 등장하셨군. 생김새는 알고 있던 거랑 비슷하네. 직접 보니 신기한 걸?
yeong	-	영	이제 어떻게 하면 되죠?
reina	-	레이나	찾아본 자료로는 머리의 꽃을 건드리면 쉽게 길들일 수 있다고 들었는데......
blank	-	-	영은 레이나가 말을 끝마치기도 전에 땅을 박차고 뛰어올라 새의 머리를 향해 날아들었다. 그러나 어느 정도 가까워지나 싶던 순간, 날개로 강력한 바람을 일으키자 더 다가가지 못하고 그 자리에 착지했다.
reina	-	레이나	하지만 거기까지 접근하려면 쉽지 않을 거예요.
luvericha	-	루베리카	......너무 무리하진 말아요. 갑자기 상태가 나빠질 수도 있으니까.
eren	-	에렌	이왕이면 멀쩡한 채로 잡아서 바로 써먹고 싶었지만...... 일단 무력화시킨 다음 쟤도 요양을 시키든가 해야겠는데?
*	load_battle	pintos#s7	
