blank,-,-,"오키드를 포획한 후 하루를 더 쉰 핀토스 일행은, 루펠리아를 향해 동쪽으로 날아가기 시작하여 연금술의 도시 알체스에 도착했다. 사람들의 눈에 띄지 않게 가도에서 꽤 떨어진 위치에서 내린 후 사람들과 섞여 안으로 들어갈 수 있었다.",
sisterna,-,시스터나,"와, 벌써 도착이라니. 빠르긴 빠르네요.",
eren,-,에렌,이틀이면 주 하나를 건널 수 있을 정도라고 하지.,
luvericha,-,루베리카,"그, 오키드가 어디 도망가거나 하진 않겠죠?",
reina,-,레이나,너무 배가 고파지거나 위협을 느끼기 전까지는 문제없을 거예요.,
eren,-,에렌,(그나저나 기분이 묘한걸. 편지는 많이 보내봤지만 이곳에 직접 오게 될 줄은 몰랐군.),
sisterna,-,시스터나,"무슨 생각을 그렇게 하니? 아니, 하세요? 와, 엄청 헷갈리네 이거.",
eren,-,에렌,......편한 대로 해. 어차피 남들 앞에서는 의심을 안 사려면 그래야 하잖아.,
sisterna,-,시스터나,"(미소)훗, 그렇다면 사양 않고 불러주지!",
yeong,-,영,"그러면 여기서...... 검문 등으로 마을에 들어가기 힘들 경우를 대비해서 식량과 물을 며칠 분은 준비해야겠군요. 아직 겨울이니 사람 수만큼 모피도 구하도록 하죠. 핀토스 경도 있으니, 최소한의 방한이 되면 숙소를 구하더라도 얼어 죽지는 않겠네요.",
sisterna,-,시스터나,"오오, 전문성이 느껴진다. 여행 많이 다녀보셨나 봐요?",
yeong,-,영,"용병은 고용주가 가는 곳을 따라가는 곳이 일이죠. 사실 이 정도로 가벼운 여행 준비도 드물어요. 마법으로 불도 피울 수 있고, 부상 시 응급처치도 가능, 이동이 빠른 만큼 마을 찾기도 쉬울 테니까.",
luvericha,-,루베리카,"그건 그렇고, 왠지 주변 분위기가 심상치 않아요. 신경이 곤두서 있다고 해야 하나? 그리고 많은 사람들이 한 곳을 중심으로 바쁘게 드나드는 것 같기도 하고.",
eren,-,에렌,맞아. 그리고 난 그게 더 신경 쓰여.,
reina,-,레이나,하지만 우릴 알아볼 수도 있어서 직접 확인하기는 좀......,
sisterna,-,시스터나,제가 가 볼까요?,
reina,-,레이나,"하지만 시스터나 씨도 이미 한 번 녀석들과 만났으니, 위험할지도 몰라요.",
sisterna,-,시스터나,아무리 그래도 원래 하스켈이나 핀토스 소속이었던 당신들보단 훨씬 낫겠죠. 시간이 꽤 지났으니 경계가 조금은 풀릴 때도 됐고. 실제로 들어올 때도 별일 없었잖아요?,
reina,-,레이나,"......그렇다면, 정보를 수집하는 김에 사람 한 명만 같이 찾아보죠.",
eren,-,에렌,그 녀석은 더 이상 그쪽에 아무런 연고가 없어. 너도 잘 알 텐데?,
sisterna,-,시스터나,이름이 뭔데?,
reina,-,레이나,트리아나 페르단트'. 핀토스의 기사 중 한 명이죠.,
sisterna,-,시스터나,(미소)일단 무렁나 볼게요. 다녀올게요~,
reina,-,레이나,"그럼 부탁드려요. 그 동안 저희는 필요한 것들을 구해올 텐, 이 자리에서 다시 만나도록 하죠.",
