*	bg	Forest
*	bgm	Script_Tense
blank	-	-	황궁을 빠져나온 두 사람이 엉망이 된 차림새로 마주 서 있다.
lucius	-	루키어스	하아, 하아...... 핀토스 경, 무사하십니까.
reina	-	레이나	그런 것 같네요. 풋, 아까는 사람 취급도 안 해주시더니 지금은 걱정씩이나 해 주시네요?
lucius	-	루키어스	......일시적이라 한들 동맹은 동맹. 당신이 어떤 사람이든, 지금 한편인 이상 안위를 신경쓰는 것은 당연합니다.
blank	-	-	결연한 표정으로 진지하게 말하는 루키어스 하스켈. 레이나 핀토스는 그런 그럴 잠시 동안 가만히 쳐다보고 있었다.
reina	-	레이나	(......정말로 이게 조금 전 나를 '살인자'라고 매도하던 사람과 동일 인물이라고?)
reina	-	레이나	(여전히 이해할 수 없는 사람이군.)
reina	-	레이나	어쨌든 협조해 줘서 감사했어요. 저는 이만.
lucius	-	루키어스	잠깐. 어디로 갈 생각입니까?
reina	-	레이나	(작정하고 황제가 습격해왔다면, 저택으로 돌아가 봤자 금방 찾아낼 게 뻔해. 어쩌면 이미 대기하고 있을지도 모르지. 우선 안전을 확보한 뒤 다음 행동을 생각해 봐야겠어.)
reina	-	레이나	(누구에게도 알려지지 않은 안전한 곳, 조건에 맞는 장소는 단 하나뿐이야.)
lucius	-	루키어스	핀토스 경?
reina	-	레이나	제가 그걸 알려드릴 이유는 없는 것 같군요. 그 대신 '동맹'으로서 다른 걸 하나 알려드리죠. 믿는 건 자유지만.
reina	-	레이나	......3년 전. '그날'에 있었던 일. 그건 적어도 고의는 아니었어요. 어쨌든 제대로 관리하지 못한 건 제 탓이니 사과드리죠.
lucius	-	루키어스	그건 대체 무슨 뜻......
reina	-	레이나	그럼 이만.
*	disappear	reina
*	load_title
