*	bg	Forest
*	bgm	Script_Normal
notshown	-	???	저기요오~? 아무도 없어요~?
reina	-	레이나	......!!
reina	-	레이나	(얼마나 지난 거지? 벌써 여기까지 발견된 건가?! 빨리 도망쳐야......)
notshown	-	???	빈집인가? 하긴. 이런 산구석에 덩그라니 민가 하나 있는 것도 이상하지. 신세 좀 지고 가야겠다. 누군지 모르겠지만 복 받으실 거에요!
reina	-	레이나	(......뭐지?)
notshown	-	???	이런 역시 잠겼군. 어쩔 수 없나?
reina	-	레이나	(날 쫓아온 게 아닌가......?)
notshown	-	???	되도록 적은 피해로 문을 부수는 방법이 뭐가 있을ㄲ......
reina	-	레이나	무슨 짓이야!
notshown	-	???	우왁!
blank	-	-	레이나가 급하게 열어젖힌 문에 얼굴을 부딪힌 불청객은 잔뜩 찌푸린 표정으로 은근슬쩍 안으로 걸어들어왔다. 조금 전까지의 생기 넘치는 말투와는 달리 구겨진 옷에 초췌한 얼굴까지 행색이 말이 아니었다.
sisterna	-	???	아야야...... 이런 불연속함수같은 사람을 봤나. 당신 그렇게 살면 미분도 안 된다고요!
reina	-	레이나	뭔 소리야......? 아니 잠깐만, 애초에 남의 건물 문을 부수려 들지 말라고요.....
sisterna	-	???	뭐 아무튼, 그게 중요한 건 아니지. 그런 건 무한으로 가는 1/n의 극한만큼이나 사소한 거니까.
reina	-	레이나	......?
sisterna	-	???	아, 자기소개를 안 했네. 제 이름은 시스터나 레온하르트, 마법물리학 박사죠.
*	adv_start
**	시스터나	-
sisterna	-	시스터나	휴우, 산에서 길을 잃어서 이틀째 헤매고 있었는데 덕분에 신세를 지게 됐네요.
reina	-	레이나	(아직 허락한 기억은 없는데......?)
sisterna	-	시스터나	그쪽은요?
reina	-	레이나	네?
sisterna	-	시스터나	통성명. 제 이름을 말했으면 그쪽도 말해줘야 하는 거 아닌가요?
reina	-	레이나	아, 그, 그런가요. 제 이름은......
reina	-	레이나	(잠깐, 지금 내 이름을 그대로 말하면 안 되잖아? 일단 딴소리를 하면서 주의를 돌려 봐야겠다.)
reina	-	레이나	죄송하지만 아까 정신이 없어서 제대로 못 들었는데, 성함이 어떻게 되신다고요?
sisterna	-	시스터나	시스터나 레온하르트! 마법물리학 박사죠! 자바 연방 공화국에서 왔답니다!
reina	-	레이나	어? 분명 어디서 들어본 것 같은 이름인데...... 잠깐만, 자바? 그렇다면, 자바 마법학계의 이단아라는 그 시스터나 레온하르트!
sisterna	-	시스터나	호오, 그걸 알고 있다면 마법 꽤나 하셨나보네요. 이런 데서 사시더니만 역시 평범한 분은 아니군!
reina	-	레이나	뭐, 그렇죠. 그런데 그 먼 곳에서 왜 여기까지......?
sisterna	-	시스터나	레이나 핀토스 씨를 찾으러 왔어요. 듣기로는 모나폴리에 산다고 하던......!
blank	-	-	그 말을 다 끝내기도 전에 레이나의 손이 재빨리 움직인다. 그녀가 날려 보낸 불덩이가 시스터나의 얼굴에 직격하는 듯했지만, 피어오른 먼지가 걷히고 드러난 모습에서는 머리카락이 조금 그을린 것 이외의 차이를 찾을 수 없었다.
sisterna	-	시스터나	......이게 무슨 짓이죠?
reina	-	레이나	내가 바로 레이나 핀토스니까! 날 잡아서 한몫 챙기고 이 나라에 정착하려고 했던 모양이지만, 상대를 잘못 골랐어.
sisterna	-	시스터나	뭔가 오해가 있었던 모양인데, 잠깐 차분하게 이야기를 하는 게 어때요? 그리고 미리 말하자면, 한 번 더 공격하면 그땐 가만히 안 있을 테니 참고하시고.
blank	-	-	레이나는 그동안 있었던 일을 이야기했다. 연회에서 벌어진 참극, 루키어스 하스켈과의 탈출, 이틀 전에 있었던 아스터 요원과의 교전, 그리고 자신의 현재 목표까지.
