M0206,M0205,M0202,M0202,M0202,M0203,M0203,M0203,M0203,M0203,M0204,M0204,M0204,-,-,-
M0204,M0202,M0202,M0203,M0203,M0203,M0203,M0203,M0203,M0204,M0204,P0404,P0404,P0404,-,-
M0202,M0202,M0203,M0203,M0203,P0403,P0403,P0403,M0203,M0203,P0404,P0404,P0404,P0404,W0204,-
M0202,M0203,M0203,M0203,P0403,P0403,P0403,P0403,P0403,M0203,M0203,M0203,P0404,P0404,W0204,-
M0202,M0203,M0203,M0203,P0403,P0403,P0403,P0403,P0403,M0202,M0202,M0203,P0404,W0204,W0204,M0204
M0202,M0202,M0203,M0203,M0203,P0403,P0403,P0403,M0202,M0202,M0202,M0203,M0203,W0202,W0204,M0204
M0202,M0202,M0201,M0203,M0203,M0203,M0202,M0202,M0202,M0201,P0402,P0402,P0402,W0202,M0203,M0203
M0202,M0201,M0201,N0300,N0300,N0300,M0201,M0201,M0201,M0201,P0402,P0402,P0402,W0202,P0402,M0203
M0201,M0201,N0300,N0300,N0300,N0300,N0300,M0201,M0201,N0300,N0300,M0202,W0202,W0202,P0402,P0402
M0201,M0201,N0300,N0300,N0300,N0300,N0300,N0300,N0300,N0300,N0300,W0202,W0202,M0202,M0202,M0202
N0300,N0300,N0300,N0300,N0300,N0300,N0300,N0300,N0300,N0300,W0200,W0200,M0202,M0202,M0201,M0201
-,N0300,N0300,N0300,N0300,N0300,N0300,N0300,N0300,W0200,W0200,N0300,M0201,M0201,M0201,M0201
-,-,N0300,N0300,N0300,N0300,N0300,P0200,W0200,W0200,N0300,N0300,M0201,M0201,M0201,M0201
-,-,N0300,N0300,N0300,N0300,W0200,W0200,W0200,W0200,N0300,M0201,M0201,M0201,M0201,-
-,-,N0300,N0300,W0200,W0200,W0100,W0200,N0300,N0300,N0300,M0201,M0201,M0201,M0201,-
-,-,P0200,W0200,W0100,W0100,W0200,P0200,P0200,N0300,M0201,M0201,M0201,M0201,-,-
