Index	Name	NameInCode	Side	InitPosotionX	InitPositionY	InitDirection	BaseHealth	BasePower	BaseDefense	BaseResistance	BaseAgility	UnitClass	Element	Celestial	IsObject	IsNamed	IsKillable	
1	연금술 수습생	alchemyApprentice01	Enemy	13	8	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
2	연금술 수습생	alchemyApprentice01	Enemy	16	8	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
3	연금술 수습생	alchemyApprentice01	Enemy	20	8	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
4	연금술 수습생	alchemyApprentice01	Enemy	18	9	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
5	연금술 수습생	alchemyApprentice01	Enemy	14	10	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
6	연금술 수습생	alchemyApprentice01	Enemy	3	18	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
7	연금술 수습생	alchemyApprentice01	Enemy	3	21	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
8	연금술 수습생	alchemyApprentice01	Enemy	4	19	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
9	연금술 수습생	alchemyApprentice01	Enemy	5	20	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
10	연금술 수습생	alchemyApprentice01	Enemy	6	20	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
11	연금술 수습생	alchemyApprentice01	Enemy	7	19	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
12	연금술 수습생	alchemyApprentice01	Enemy	25	19	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
13	연금술 수습생	alchemyApprentice01	Enemy	26	20	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
14	연금술 수습생	alchemyApprentice01	Enemy	27	20	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
15	연금술 수습생	alchemyApprentice01	Enemy	28	19	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
16	연금술 수습생	alchemyApprentice01	Enemy	29	18	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
17	연금술 수습생	alchemyApprentice01	Enemy	29	21	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
18	연금술 수습생	alchemyApprentice01	Enemy	13	31	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
19	연금술 수습생	alchemyApprentice01	Enemy	14	31	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
20	연금술 수습생	alchemyApprentice01	Enemy	15	29	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
21	연금술 수습생	alchemyApprentice01	Enemy	16	29	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
22	연금술 수습생	alchemyApprentice01	Enemy	17	29	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
23	연금술 수습생	alchemyApprentice01	Enemy	18	31	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
24	연금술 수습생	alchemyApprentice01	Enemy	19	31	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
25	연금술 수습생	alchemyApprentice01	Enemy	14	20	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
26	연금술 수습생	alchemyApprentice01	Enemy	15	22	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
27	연금술 수습생	alchemyApprentice01	Enemy	17	22	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
28	연금술 수습생	alchemyApprentice01	Enemy	18	20	298	115	5	48	55	Magic	Fire	Moon	false	false	true	0
29	제국군 병사	soldier01	Enemy	4	15	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
30	제국군 병사	soldier01	Enemy	6	16	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
31	제국군 병사	soldier01	Enemy	8	17	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
32	제국군 병사	soldier01	Enemy	24	17	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
33	제국군 병사	soldier01	Enemy	26	16	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
34	제국군 병사	soldier01	Enemy	28	15	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
35	제국군 병사	soldier01	Enemy	6	24	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
36	제국군 병사	soldier01	Enemy	8	24	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
37	제국군 병사	soldier01	Enemy	24	24	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
39	제국군 병사	soldier01	Enemy	26	24	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
40	제국군 병사	soldier01	Enemy	13	17	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
41	제국군 병사	soldier01	Enemy	13	21	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
42	제국군 병사	soldier01	Enemy	14	16	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
43	제국군 병사	soldier01	Enemy	14	22	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
44	제국군 병사	soldier01	Enemy	18	16	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
45	제국군 병사	soldier01	Enemy	18	22	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
46	제국군 병사	soldier01	Enemy	19	17	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
47	제국군 병사	soldier01	Enemy	19	21	343	97	48	48	51	Melee	Plant	Earth	false	false	true	0
48	기둥	pillar	Neutral	6	9	10000	0	100	0	0	None	None	None	true	false	false	0
49	기둥	pillar	Neutral	6	10	10000	0	100	0	0	None	None	None	true	false	false	0
50	기둥	pillar	Neutral	7	9	10000	0	100	0	0	None	None	None	true	false	false	0
51	기둥	pillar	Neutral	7	10	10000	0	100	0	0	None	None	None	true	false	false	0
52	기둥	pillar	Neutral	25	9	10000	0	100	0	0	None	None	None	true	false	false	0
53	기둥	pillar	Neutral	25	10	10000	0	100	0	0	None	None	None	true	false	false	0
54	기둥	pillar	Neutral	26	9	10000	0	100	0	0	None	None	None	true	false	false	0
55	기둥	pillar	Neutral	26	10	10000	0	100	0	0	None	None	None	true	false	false	0
56	기둥	pillar	Neutral	10	13	10000	0	100	0	0	None	None	None	true	false	false	0
57	기둥	pillar	Neutral	10	14	10000	0	100	0	0	None	None	None	true	false	false	0
58	기둥	pillar	Neutral	11	13	10000	0	100	0	0	None	None	None	true	false	false	0
59	기둥	pillar	Neutral	11	14	10000	0	100	0	0	None	None	None	true	false	false	0
60	기둥	pillar	Neutral	21	13	10000	0	100	0	0	None	None	None	true	false	false	0
61	기둥	pillar	Neutral	21	14	10000	0	100	0	0	None	None	None	true	false	false	0
62	기둥	pillar	Neutral	22	13	10000	0	100	0	0	None	None	None	true	false	false	0
63	기둥	pillar	Neutral	22	14	10000	0	100	0	0	None	None	None	true	false	false	0
64	기둥	pillar	Neutral	6	28	10000	0	100	0	0	None	None	None	true	false	false	0
65	기둥	pillar	Neutral	6	28	10000	0	100	0	0	None	None	None	true	false	false	0
66	기둥	pillar	Neutral	7	29	10000	0	100	0	0	None	None	None	true	false	false	0
67	기둥	pillar	Neutral	7	29	10000	0	100	0	0	None	None	None	true	false	false	0
68	기둥	pillar	Neutral	10	24	10000	0	100	0	0	None	None	None	true	false	false	0
69	기둥	pillar	Neutral	10	25	10000	0	100	0	0	None	None	None	true	false	false	0
70	기둥	pillar	Neutral	11	24	10000	0	100	0	0	None	None	None	true	false	false	0
71	기둥	pillar	Neutral	11	25	10000	0	100	0	0	None	None	None	true	false	false	0
72	기둥	pillar	Neutral	21	24	10000	0	100	0	0	None	None	None	true	false	false	0
73	기둥	pillar	Neutral	21	25	10000	0	100	0	0	None	None	None	true	false	false	0
74	기둥	pillar	Neutral	22	24	10000	0	100	0	0	None	None	None	true	false	false	0
75	기둥	pillar	Neutral	22	25	10000	0	100	0	0	None	None	None	true	false	false	0
76	기둥	pillar	Neutral	25	28	10000	0	100	0	0	None	None	None	true	false	false	0
77	기둥	pillar	Neutral	25	29	10000	0	100	0	0	None	None	None	true	false	false	0
78	기둥	pillar	Neutral	26	28	10000	0	100	0	0	None	None	None	true	false	false	0
