Index	Name	NameInCode	Side	InitPosotionX	InitPositionY	InitDirection	BaseHealth	BasePower	BaseDefense	BaseResistance	BaseAgility	UnitClass	Element	Celestial	IsObject	IsNamed	
1	아스터 기병	asterCavalry01	Ally	10	13	LeftDown	405	50	50	32	50	Melee	Plant	Sun	false	false	0
2	아스터 기병	asterCavalry01	Ally	11	13	LeftDown	405	50	50	32	50	Melee	Plant	Sun	false	false	0
3	아스터 기병	asterCavalry01	Ally	12	13	LeftDown	405	50	50	32	50	Melee	Plant	Sun	false	false	0
4	아스터 기병	asterCavalry01	Ally	13	13	LeftDown	405	50	50	32	50	Melee	Plant	Sun	false	false	0
5	아스터 기병	asterCavalry01	Ally	14	13	LeftDown	405	50	50	32	50	Melee	Plant	Sun	false	false	0
6	아스터 궁수	asterArcher02	Ally	11	14	LeftDown	311	46	32	13	41	Melee	Plant	Moon	false	false	0
7	아스터 궁수	asterArcher02	Ally	12	14	LeftDown	311	46	32	13	41	Melee	Plant	Moon	false	false	0
8	아스터 궁수	asterArcher02	Ally	13	14	LeftDown	311	46	32	13	41	Melee	Plant	Moon	false	false	0
9	요정 병사	elvenSoldier01	Enemy	10	5	RightUp	433	46	50	69	41	Melee	Plant	Earth	false	false	0
10	요정 병사	elvenSoldier01	Enemy	11	5	RightUp	433	46	50	69	41	Melee	Plant	Earth	false	false	0
11	요정 병사	elvenSoldier01	Enemy	12	5	RightUp	433	46	50	69	41	Melee	Plant	Earth	false	false	0
12	요정 병사	elvenSoldier01	Enemy	13	5	RightUp	433	46	50	69	41	Melee	Plant	Earth	false	false	0
13	요정 병사	elvenSoldier01	Enemy	14	5	RightUp	433	46	50	69	41	Melee	Plant	Earth	false	false	0
14	요정 궁수	elvenArcher01	Enemy	9	3	RightUp	332	92	13	50	41	Melee	Plant	Earth	false	false	0
15	요정 궁수	elvenArcher01	Enemy	10	3	RightUp	332	92	13	50	41	Melee	Plant	Earth	false	false	0
16	요정 궁수	elvenArcher01	Enemy	11	3	RightUp	332	92	13	50	41	Melee	Plant	Earth	false	false	0
17	요정 궁수	elvenArcher01	Enemy	12	3	RightUp	332	92	13	50	41	Melee	Plant	Earth	false	false	0
18	요정 궁수	elvenArcher01	Enemy	13	3	RightUp	332	92	13	50	41	Melee	Plant	Earth	false	false	0
19	요정 사제	elvenPriest01	Enemy	10	2	RightUp	254	73	-6	50	38	Magic	Plant	Earth	false	false	0
20	요정 사제	elvenPriest01	Enemy	11	1	RightUp	254	73	-6	50	38	Magic	Plant	Earth	false	false	0
21	요정 사제	elvenPriest01	Enemy	12	1	RightUp	254	73	-6	50	38	Magic	Plant	Earth	false	false	0
22	PCjson	json	Ally	9	16	LeftDown	0	0	0	0	0	None	None	None	false	false	0
23	PCtriana	triana	Ally	10	16	LeftDown	0	0	0	0	0	None	None	None	false	false	0
